round,test_acc,test_loss
0,0.068600,2.309219
5,0.430300,2.053919
10,0.674700,1.722849
15,0.713000,1.440631
20,0.748500,1.207541
25,0.771700,1.026670
30,0.794600,0.890917
35,0.812400,0.790595
40,0.829900,0.714035
45,0.841200,0.656746
50,0.850600,0.610958
55,0.856400,0.574229
60,0.862000,0.544013
65,0.866400,0.518707
70,0.870300,0.497239
75,0.874100,0.478829
80,0.877100,0.462662
85,0.880300,0.448385
90,0.883300,0.436200
95,0.885400,0.425262
100,0.887400,0.415525
105,0.889500,0.406027
110,0.890400,0.398414
115,0.891200,0.390619
120,0.892700,0.383961
125,0.894600,0.377788
130,0.895400,0.372089
135,0.896800,0.366710
140,0.898300,0.361427
145,0.899300,0.356864
150,0.900200,0.352515
155,0.900900,0.348430
160,0.902000,0.344447
165,0.903000,0.340883
170,0.904100,0.337413
175,0.904700,0.334064
180,0.906100,0.331011
185,0.906700,0.328129
190,0.907500,0.325181
195,0.908000,0.322457
200,0.908100,0.320058
