round,test_acc,test_loss
0,0.068600,2.309219
5,0.225800,2.178838
10,0.589300,1.986371
15,0.641300,1.811048
20,0.677100,1.632535
25,0.700500,1.457073
30,0.727200,1.295430
35,0.746900,1.155009
40,0.775200,1.034750
45,0.786700,0.938019
50,0.803400,0.858504
55,0.815300,0.793943
60,0.826000,0.740427
65,0.835300,0.696507
70,0.841000,0.659844
75,0.846900,0.628454
80,0.852400,0.601194
85,0.857700,0.577383
90,0.861200,0.557017
95,0.865800,0.539066
100,0.867800,0.523078
105,0.871500,0.507852
110,0.872900,0.495183
115,0.876500,0.482764
120,0.877900,0.472234
125,0.880100,0.462402
130,0.881200,0.453361
135,0.882900,0.445131
140,0.884600,0.437107
145,0.886600,0.429968
150,0.887800,0.423398
155,0.888900,0.417254
160,0.890000,0.411395
165,0.890900,0.405924
170,0.892400,0.401000
175,0.893300,0.396078
180,0.894600,0.391633
185,0.895900,0.387380
190,0.895900,0.383360
195,0.896900,0.379587
200,0.897200,0.375902
