round,test_acc,test_loss
0,0.068600,2.309219
5,0.112800,2.259262
10,0.263800,2.158522
15,0.503100,2.055301
20,0.599100,1.944883
25,0.619300,1.822940
30,0.647500,1.689023
35,0.655100,1.551379
40,0.688800,1.414801
45,0.701900,1.289650
50,0.728900,1.175355
55,0.747300,1.075369
60,0.769600,0.988142
65,0.785200,0.914968
70,0.799600,0.852953
75,0.812400,0.799882
80,0.822200,0.754033
85,0.829700,0.715013
90,0.838100,0.681501
95,0.842800,0.653189
100,0.848600,0.627525
105,0.851500,0.604546
110,0.856900,0.584294
115,0.861000,0.565840
120,0.862500,0.549778
125,0.867200,0.535147
130,0.867800,0.521396
135,0.870000,0.509307
140,0.874000,0.497554
145,0.875300,0.487208
150,0.877300,0.477502
155,0.878700,0.468792
160,0.879800,0.460128
165,0.882600,0.452484
170,0.882200,0.445650
175,0.884000,0.438507
180,0.884900,0.432312
185,0.886200,0.426354
190,0.887300,0.420692
195,0.888300,0.415553
200,0.890300,0.410576
