round,sum_w_cohort_proxy,avg_cos_cached_vs_hon_mean,n_in_S_t,decay_factor
0,0.400000,+0.084195,80,0.995000
1,0.400000,+0.079964,80,0.995000
2,0.400000,+0.088050,80,0.995000
3,0.400000,+0.090692,80,0.995000
4,0.400000,+0.075393,80,0.995000
5,0.400000,+0.052768,80,0.995000
6,0.400000,+0.001416,80,0.995000
7,0.400000,-0.042769,80,0.995000
8,0.400000,-0.085533,80,0.995000
9,0.400000,-0.119256,80,0.995000
10,0.400000,-0.147042,80,0.995000
11,0.400000,-0.165407,80,0.995000
12,0.400000,-0.173278,80,0.995000
13,0.400000,-0.184385,80,0.995000
14,0.400000,-0.186525,80,0.995000
15,0.400000,-0.209839,80,0.995000
16,0.400000,-0.193943,80,0.995000
17,0.400000,-0.201941,80,0.995000
18,0.400000,-0.203018,80,0.995000
19,0.400000,-0.023216,80,0.995000
20,0.400000,-0.067271,0,0.995000
21,0.400000,-0.120142,0,0.995000
22,0.400000,-0.131331,0,0.995000
23,0.400000,-0.156067,0,0.995000
24,0.400000,-0.139693,0,0.995000
25,0.400000,-0.164550,0,0.995000
26,0.400000,-0.164658,0,0.995000
27,0.400000,-0.157552,0,0.995000
28,0.400000,-0.150444,0,0.995000
29,0.400000,-0.149465,0,0.995000
30,0.400000,-0.134139,0,0.995000
31,0.400000,-0.129633,0,0.995000
32,0.400000,-0.125504,0,0.995000
33,0.400000,-0.118976,0,0.995000
34,0.400000,-0.114915,0,0.995000
35,0.400000,-0.105286,0,0.995000
36,0.400000,-0.103922,0,0.995000
37,0.400000,-0.103084,0,0.995000
38,0.400000,-0.097897,0,0.995000
39,0.400000,-0.093419,0,0.995000
40,0.400000,-0.089082,0,0.995000
41,0.400000,-0.085510,0,0.995000
42,0.400000,-0.083312,0,0.995000
43,0.400000,-0.078596,0,0.995000
44,0.400000,-0.075586,0,0.995000
45,0.400000,-0.070467,0,0.995000
46,0.400000,-0.065760,0,0.995000
47,0.400000,-0.061367,0,0.995000
48,0.400000,-0.058483,0,0.995000
49,0.400000,-0.056190,0,0.995000
50,0.400000,-0.053065,0,0.995000
51,0.400000,-0.047992,0,0.995000
52,0.400000,-0.046042,0,0.995000
53,0.400000,-0.041185,0,0.995000
54,0.400000,-0.039225,0,0.995000
55,0.400000,-0.034844,0,0.995000
56,0.400000,-0.032240,0,0.995000
57,0.400000,-0.027929,0,0.995000
58,0.400000,-0.024977,0,0.995000
59,0.400000,-0.024241,0,0.995000
60,0.400000,-0.021555,0,0.995000
61,0.400000,-0.015149,0,0.995000
62,0.400000,-0.011705,0,0.995000
63,0.400000,-0.012691,0,0.995000
64,0.400000,-0.013085,0,0.995000
65,0.400000,-0.010006,0,0.995000
66,0.400000,-0.009321,0,0.995000
67,0.400000,-0.006757,0,0.995000
68,0.400000,-0.005666,0,0.995000
69,0.400000,-0.006965,0,0.995000
70,0.400000,-0.003463,0,0.995000
71,0.400000,-0.003481,0,0.995000
72,0.400000,-0.002796,0,0.995000
73,0.400000,-0.002942,0,0.995000
74,0.400000,-0.000255,0,0.995000
75,0.400000,+0.000501,0,0.995000
76,0.400000,-0.000250,0,0.995000
77,0.400000,+0.000567,0,0.995000
78,0.400000,+0.001865,0,0.995000
79,0.400000,+0.001327,0,0.995000
80,0.400000,+0.003525,0,0.995000
81,0.400000,+0.003069,0,0.995000
82,0.400000,+0.003563,0,0.995000
83,0.400000,+0.004140,0,0.995000
84,0.400000,+0.003790,0,0.995000
85,0.400000,+0.002491,0,0.995000
86,0.400000,+0.004418,0,0.995000
87,0.400000,+0.003846,0,0.995000
88,0.400000,+0.004727,0,0.995000
89,0.400000,+0.005160,0,0.995000
90,0.400000,+0.004898,0,0.995000
91,0.400000,+0.004970,0,0.995000
92,0.400000,+0.004360,0,0.995000
93,0.400000,+0.005326,0,0.995000
94,0.400000,+0.005149,0,0.995000
95,0.400000,+0.004276,0,0.995000
96,0.400000,+0.004616,0,0.995000
97,0.400000,+0.004314,0,0.995000
98,0.400000,+0.004800,0,0.995000
99,0.400000,+0.004250,0,0.995000
100,0.400000,+0.003915,0,0.995000
101,0.400000,+0.003774,0,0.995000
102,0.400000,+0.004217,0,0.995000
103,0.400000,+0.003825,0,0.995000
104,0.400000,+0.003344,0,0.995000
105,0.400000,+0.002975,0,0.995000
106,0.400000,+0.003819,0,0.995000
107,0.400000,+0.003260,0,0.995000
108,0.400000,+0.003410,0,0.995000
109,0.400000,+0.003070,0,0.995000
110,0.400000,+0.003386,0,0.995000
111,0.400000,+0.002622,0,0.995000
112,0.400000,+0.002745,0,0.995000
113,0.400000,+0.003178,0,0.995000
114,0.400000,+0.001874,0,0.995000
115,0.400000,+0.002258,0,0.995000
116,0.400000,+0.002194,0,0.995000
117,0.400000,+0.001901,0,0.995000
118,0.400000,+0.002173,0,0.995000
119,0.400000,+0.002247,0,0.995000
120,0.400000,+0.001917,0,0.995000
121,0.400000,+0.001535,0,0.995000
122,0.400000,+0.001553,0,0.995000
123,0.400000,+0.001215,0,0.995000
124,0.400000,+0.001418,0,0.995000
125,0.400000,+0.001458,0,0.995000
126,0.400000,+0.001290,0,0.995000
127,0.400000,+0.001750,0,0.995000
128,0.400000,+0.001080,0,0.995000
129,0.400000,+0.001555,0,0.995000
130,0.400000,+0.001359,0,0.995000
131,0.400000,+0.001209,0,0.995000
132,0.400000,+0.000909,0,0.995000
133,0.400000,+0.000483,0,0.995000
134,0.400000,+0.000801,0,0.995000
135,0.400000,+0.000708,0,0.995000
136,0.400000,+0.000865,0,0.995000
137,0.400000,+0.000884,0,0.995000
138,0.400000,+0.000772,0,0.995000
139,0.400000,+0.001151,0,0.995000
140,0.400000,+0.000570,0,0.995000
141,0.400000,+0.000782,0,0.995000
142,0.400000,+0.000693,0,0.995000
143,0.400000,-0.000059,0,0.995000
144,0.400000,+0.000406,0,0.995000
145,0.400000,+0.000254,0,0.995000
146,0.400000,+0.000124,0,0.995000
147,0.400000,-0.000040,0,0.995000
148,0.400000,+0.000110,0,0.995000
149,0.400000,+0.000535,0,0.995000
150,0.400000,-0.000056,0,0.995000
151,0.400000,-0.000016,0,0.995000
152,0.400000,+0.000306,0,0.995000
153,0.400000,-0.000049,0,0.995000
154,0.400000,+0.000407,0,0.995000
155,0.400000,-0.000219,0,0.995000
156,0.400000,-0.000112,0,0.995000
157,0.400000,+0.000383,0,0.995000
158,0.400000,-0.000629,0,0.995000
159,0.400000,+0.000214,0,0.995000
160,0.400000,+0.000110,0,0.995000
161,0.400000,-0.000339,0,0.995000
162,0.400000,+0.000170,0,0.995000
163,0.400000,-0.000427,0,0.995000
164,0.400000,-0.000026,0,0.995000
165,0.400000,-0.000338,0,0.995000
166,0.400000,-0.000066,0,0.995000
167,0.400000,-0.000367,0,0.995000
168,0.400000,-0.000368,0,0.995000
169,0.400000,-0.000368,0,0.995000
170,0.400000,-0.000077,0,0.995000
171,0.400000,-0.000670,0,0.995000
172,0.400000,-0.000306,0,0.995000
173,0.400000,-0.000115,0,0.995000
174,0.400000,+0.000113,0,0.995000
175,0.400000,-0.000213,0,0.995000
176,0.400000,-0.000692,0,0.995000
177,0.400000,-0.000857,0,0.995000
178,0.400000,-0.000891,0,0.995000
179,0.400000,-0.001242,0,0.995000
180,0.400000,-0.001342,0,0.995000
181,0.400000,-0.001621,0,0.995000
182,0.400000,-0.001045,0,0.995000
183,0.400000,-0.000726,0,0.995000
184,0.400000,-0.000785,0,0.995000
185,0.400000,-0.001133,0,0.995000
186,0.400000,-0.000530,0,0.995000
187,0.400000,-0.000294,0,0.995000
188,0.400000,-0.000044,0,0.995000
189,0.400000,-0.001177,0,0.995000
190,0.400000,-0.000994,0,0.995000
191,0.400000,-0.000824,0,0.995000
192,0.400000,-0.000646,0,0.995000
193,0.400000,-0.001870,0,0.995000
194,0.400000,-0.000786,0,0.995000
195,0.400000,-0.000418,0,0.995000
196,0.400000,-0.000746,0,0.995000
197,0.400000,-0.000974,0,0.995000
198,0.400000,-0.001075,0,0.995000
199,0.400000,-0.000992,0,0.995000
