round,sum_w_cohort_proxy,avg_cos_cached_vs_hon_mean,n_in_S_t,decay_factor
0,0.400000,+0.084195,80,0.995000
1,0.400000,+0.079964,80,0.995000
2,0.400000,+0.088050,80,0.995000
3,0.400000,+0.090692,80,0.995000
4,0.400000,+0.075393,80,0.995000
5,0.400000,+0.052768,80,0.995000
6,0.400000,+0.001416,80,0.995000
7,0.400000,-0.042769,80,0.995000
8,0.400000,-0.085533,80,0.995000
9,0.400000,-0.119256,80,0.995000
10,0.400000,-0.147042,80,0.995000
11,0.400000,-0.165407,80,0.995000
12,0.400000,-0.173278,80,0.995000
13,0.400000,-0.184385,80,0.995000
14,0.400000,-0.186525,80,0.995000
15,0.400000,-0.209839,80,0.995000
16,0.400000,-0.193943,80,0.995000
17,0.400000,-0.201941,80,0.995000
18,0.400000,-0.203018,80,0.995000
19,0.400000,-0.202889,80,0.995000
20,0.400000,-0.201364,0,0.995000
21,0.400000,-0.201117,0,0.995000
22,0.400000,-0.194766,0,0.995000
23,0.400000,-0.198496,0,0.995000
24,0.400000,-0.169075,0,0.995000
25,0.400000,-0.197121,0,0.995000
26,0.400000,-0.198876,0,0.995000
27,0.400000,-0.180248,0,0.995000
28,0.400000,-0.170579,0,0.995000
29,0.400000,-0.188651,0,0.995000
30,0.400000,-0.169650,0,0.995000
31,0.400000,-0.177147,0,0.995000
32,0.400000,-0.177701,0,0.995000
33,0.400000,-0.157507,0,0.995000
34,0.400000,-0.159904,0,0.995000
35,0.400000,-0.166849,0,0.995000
36,0.400000,-0.162647,0,0.995000
37,0.400000,-0.152791,0,0.995000
38,0.400000,-0.159160,0,0.995000
39,0.400000,-0.141212,0,0.995000
40,0.400000,-0.152037,0,0.995000
41,0.400000,-0.142158,0,0.995000
42,0.400000,-0.147088,0,0.995000
43,0.400000,-0.147857,0,0.995000
44,0.400000,-0.164088,0,0.995000
45,0.400000,-0.151400,0,0.995000
46,0.400000,-0.153916,0,0.995000
47,0.400000,-0.156290,0,0.995000
48,0.400000,-0.163748,0,0.995000
49,0.400000,-0.133744,0,0.995000
50,0.400000,-0.133740,0,0.995000
51,0.400000,-0.158273,0,0.995000
52,0.400000,-0.153674,0,0.995000
53,0.400000,-0.164833,0,0.995000
54,0.400000,-0.144874,0,0.995000
55,0.400000,-0.156339,0,0.995000
56,0.400000,-0.141051,0,0.995000
57,0.400000,-0.164824,0,0.995000
58,0.400000,-0.169314,0,0.995000
59,0.400000,-0.151231,0,0.995000
60,0.400000,-0.156091,0,0.995000
61,0.400000,-0.164039,0,0.995000
62,0.400000,-0.175868,0,0.995000
63,0.400000,-0.162439,0,0.995000
64,0.400000,-0.171365,0,0.995000
65,0.400000,-0.167775,0,0.995000
66,0.400000,-0.178314,0,0.995000
67,0.400000,-0.196819,0,0.995000
68,0.400000,-0.175568,0,0.995000
69,0.400000,-0.177448,0,0.995000
70,0.400000,-0.175283,0,0.995000
71,0.400000,-0.181132,0,0.995000
72,0.400000,-0.176687,0,0.995000
73,0.400000,-0.180842,0,0.995000
74,0.400000,-0.174499,0,0.995000
75,0.400000,-0.155678,0,0.995000
76,0.400000,-0.178698,0,0.995000
77,0.400000,-0.174882,0,0.995000
78,0.400000,-0.179396,0,0.995000
79,0.400000,-0.183415,0,0.995000
80,0.400000,-0.187496,0,0.995000
81,0.400000,-0.176861,0,0.995000
82,0.400000,-0.190145,0,0.995000
83,0.400000,-0.205932,0,0.995000
84,0.400000,-0.207922,0,0.995000
85,0.400000,-0.175363,0,0.995000
86,0.400000,-0.191349,0,0.995000
87,0.400000,-0.204101,0,0.995000
88,0.400000,-0.191268,0,0.995000
89,0.400000,-0.199053,0,0.995000
90,0.400000,-0.199223,0,0.995000
91,0.400000,-0.208170,0,0.995000
92,0.400000,-0.208920,0,0.995000
93,0.400000,-0.204126,0,0.995000
94,0.400000,-0.195911,0,0.995000
95,0.400000,-0.207826,0,0.995000
96,0.400000,-0.204137,0,0.995000
97,0.400000,-0.225280,0,0.995000
98,0.400000,-0.208231,0,0.995000
99,0.400000,-0.210436,0,0.995000
100,0.400000,-0.204188,0,0.995000
101,0.400000,-0.218814,0,0.995000
102,0.400000,-0.213700,0,0.995000
103,0.400000,-0.219569,0,0.995000
104,0.400000,-0.204387,0,0.995000
105,0.400000,-0.208839,0,0.995000
106,0.400000,-0.224211,0,0.995000
107,0.400000,-0.210201,0,0.995000
108,0.400000,-0.194636,0,0.995000
109,0.400000,-0.216606,0,0.995000
110,0.400000,-0.222743,0,0.995000
111,0.400000,-0.230271,0,0.995000
112,0.400000,-0.232387,0,0.995000
113,0.400000,-0.229124,0,0.995000
114,0.400000,-0.215536,0,0.995000
115,0.400000,-0.238549,0,0.995000
116,0.400000,-0.241321,0,0.995000
117,0.400000,-0.219090,0,0.995000
118,0.400000,-0.203060,0,0.995000
119,0.400000,-0.227385,0,0.995000
120,0.400000,-0.217417,0,0.995000
121,0.400000,-0.227896,0,0.995000
122,0.400000,-0.228963,0,0.995000
123,0.400000,-0.245234,0,0.995000
124,0.400000,-0.237903,0,0.995000
125,0.400000,-0.241460,0,0.995000
126,0.400000,-0.232471,0,0.995000
127,0.400000,-0.227492,0,0.995000
128,0.400000,-0.238297,0,0.995000
129,0.400000,-0.227711,0,0.995000
130,0.400000,-0.236952,0,0.995000
131,0.400000,-0.222993,0,0.995000
132,0.400000,-0.234593,0,0.995000
133,0.400000,-0.212969,0,0.995000
134,0.400000,-0.227924,0,0.995000
135,0.400000,-0.234144,0,0.995000
136,0.400000,-0.236813,0,0.995000
137,0.400000,-0.251401,0,0.995000
138,0.400000,-0.250088,0,0.995000
139,0.400000,-0.237817,0,0.995000
140,0.400000,-0.238069,0,0.995000
141,0.400000,-0.253911,0,0.995000
142,0.400000,-0.244607,0,0.995000
143,0.400000,-0.230548,0,0.995000
144,0.400000,-0.236811,0,0.995000
145,0.400000,-0.259170,0,0.995000
146,0.400000,-0.233326,0,0.995000
147,0.400000,-0.242589,0,0.995000
148,0.400000,-0.238191,0,0.995000
149,0.400000,-0.237205,0,0.995000
150,0.400000,-0.255399,0,0.995000
151,0.400000,-0.265315,0,0.995000
152,0.400000,-0.231587,0,0.995000
153,0.400000,-0.258166,0,0.995000
154,0.400000,-0.242385,0,0.995000
155,0.400000,-0.232736,0,0.995000
156,0.400000,-0.253651,0,0.995000
157,0.400000,-0.249781,0,0.995000
158,0.400000,-0.241684,0,0.995000
159,0.400000,-0.255473,0,0.995000
160,0.400000,-0.256093,0,0.995000
161,0.400000,-0.230487,0,0.995000
162,0.400000,-0.257821,0,0.995000
163,0.400000,-0.254280,0,0.995000
164,0.400000,-0.247636,0,0.995000
165,0.400000,-0.257867,0,0.995000
166,0.400000,-0.248639,0,0.995000
167,0.400000,-0.255503,0,0.995000
168,0.400000,-0.265091,0,0.995000
169,0.400000,-0.241759,0,0.995000
170,0.400000,-0.236025,0,0.995000
171,0.400000,-0.253247,0,0.995000
172,0.400000,-0.274348,0,0.995000
173,0.400000,-0.271081,0,0.995000
174,0.400000,-0.244811,0,0.995000
175,0.400000,-0.256058,0,0.995000
176,0.400000,-0.257199,0,0.995000
177,0.400000,-0.262516,0,0.995000
178,0.400000,-0.257187,0,0.995000
179,0.400000,-0.257368,0,0.995000
180,0.400000,-0.248839,0,0.995000
181,0.400000,-0.251394,0,0.995000
182,0.400000,-0.264823,0,0.995000
183,0.400000,-0.260676,0,0.995000
184,0.400000,-0.261265,0,0.995000
185,0.400000,-0.276790,0,0.995000
186,0.400000,-0.266710,0,0.995000
187,0.400000,-0.259899,0,0.995000
188,0.400000,-0.252689,0,0.995000
189,0.400000,-0.262914,0,0.995000
190,0.400000,-0.268805,0,0.995000
191,0.400000,-0.267206,0,0.995000
192,0.400000,-0.265868,0,0.995000
193,0.400000,-0.266534,0,0.995000
194,0.400000,-0.286277,0,0.995000
195,0.400000,-0.280969,0,0.995000
196,0.400000,-0.266528,0,0.995000
197,0.400000,-0.247832,0,0.995000
198,0.400000,-0.260209,0,0.995000
199,0.400000,-0.276102,0,0.995000
