round,sum_w_cohort_proxy,avg_cos_cached_vs_hon_mean,n_in_S_t,decay_factor
0,0.400000,+0.060265,80,0.995000
1,0.400000,+0.064314,80,0.995000
2,0.400000,+0.065102,80,0.995000
3,0.400000,+0.067305,80,0.995000
4,0.400000,+0.063382,80,0.995000
5,0.400000,+0.038249,80,0.995000
6,0.400000,-0.012054,80,0.995000
7,0.400000,-0.047719,80,0.995000
8,0.400000,-0.082511,80,0.995000
9,0.400000,-0.111313,80,0.995000
10,0.400000,-0.136320,80,0.995000
11,0.400000,-0.152115,80,0.995000
12,0.400000,-0.161843,80,0.995000
13,0.400000,-0.162897,80,0.995000
14,0.400000,-0.166119,80,0.995000
15,0.400000,-0.171971,80,0.995000
16,0.400000,-0.181800,80,0.995000
17,0.400000,-0.176175,80,0.995000
18,0.400000,-0.181583,80,0.995000
19,0.400000,+0.010501,80,0.995000
20,0.400000,-0.073058,0,0.995000
21,0.400000,-0.074966,0,0.995000
22,0.400000,-0.093590,0,0.995000
23,0.400000,-0.124722,0,0.995000
24,0.400000,-0.127603,0,0.995000
25,0.400000,-0.127929,0,0.995000
26,0.400000,-0.130078,0,0.995000
27,0.400000,-0.135272,0,0.995000
28,0.400000,-0.122781,0,0.995000
29,0.400000,-0.119584,0,0.995000
30,0.400000,-0.117611,0,0.995000
31,0.400000,-0.114044,0,0.995000
32,0.400000,-0.101833,0,0.995000
33,0.400000,-0.082382,0,0.995000
34,0.400000,-0.084480,0,0.995000
35,0.400000,-0.073021,0,0.995000
36,0.400000,-0.066027,0,0.995000
37,0.400000,-0.050408,0,0.995000
38,0.400000,-0.047543,0,0.995000
39,0.400000,-0.043454,0,0.995000
40,0.400000,-0.044592,0,0.995000
41,0.400000,-0.038582,0,0.995000
42,0.400000,-0.039135,0,0.995000
43,0.400000,-0.037182,0,0.995000
44,0.400000,-0.037126,0,0.995000
45,0.400000,-0.036773,0,0.995000
46,0.400000,-0.036217,0,0.995000
47,0.400000,-0.034387,0,0.995000
48,0.400000,-0.035072,0,0.995000
49,0.400000,-0.032175,0,0.995000
50,0.400000,-0.030935,0,0.995000
51,0.400000,-0.031096,0,0.995000
52,0.400000,-0.027253,0,0.995000
53,0.400000,-0.028808,0,0.995000
54,0.400000,-0.028138,0,0.995000
55,0.400000,-0.028591,0,0.995000
56,0.400000,-0.027830,0,0.995000
57,0.400000,-0.027339,0,0.995000
58,0.400000,-0.027851,0,0.995000
59,0.400000,-0.026767,0,0.995000
60,0.400000,-0.029133,0,0.995000
61,0.400000,-0.028309,0,0.995000
62,0.400000,-0.028125,0,0.995000
63,0.400000,-0.027703,0,0.995000
64,0.400000,-0.026925,0,0.995000
65,0.400000,-0.025793,0,0.995000
66,0.400000,-0.027783,0,0.995000
67,0.400000,-0.028071,0,0.995000
68,0.400000,-0.028197,0,0.995000
69,0.400000,-0.026742,0,0.995000
70,0.400000,-0.027375,0,0.995000
71,0.400000,-0.027329,0,0.995000
72,0.400000,-0.026999,0,0.995000
73,0.400000,-0.026418,0,0.995000
74,0.400000,-0.027084,0,0.995000
75,0.400000,-0.026484,0,0.995000
76,0.400000,-0.025626,0,0.995000
77,0.400000,-0.025263,0,0.995000
78,0.400000,-0.025625,0,0.995000
79,0.400000,-0.025308,0,0.995000
80,0.400000,-0.025058,0,0.995000
81,0.400000,-0.024281,0,0.995000
82,0.400000,-0.024589,0,0.995000
83,0.400000,-0.023167,0,0.995000
84,0.400000,-0.023437,0,0.995000
85,0.400000,-0.023160,0,0.995000
86,0.400000,-0.023234,0,0.995000
87,0.400000,-0.023117,0,0.995000
88,0.400000,-0.022259,0,0.995000
89,0.400000,-0.021707,0,0.995000
90,0.400000,-0.021975,0,0.995000
91,0.400000,-0.022362,0,0.995000
92,0.400000,-0.021528,0,0.995000
93,0.400000,-0.021391,0,0.995000
94,0.400000,-0.021024,0,0.995000
95,0.400000,-0.020705,0,0.995000
96,0.400000,-0.021007,0,0.995000
97,0.400000,-0.020424,0,0.995000
98,0.400000,-0.020296,0,0.995000
99,0.400000,-0.020185,0,0.995000
100,0.400000,-0.020310,0,0.995000
101,0.400000,-0.019418,0,0.995000
102,0.400000,-0.020041,0,0.995000
103,0.400000,-0.020255,0,0.995000
104,0.400000,-0.020062,0,0.995000
105,0.400000,-0.020124,0,0.995000
106,0.400000,-0.019969,0,0.995000
107,0.400000,-0.019393,0,0.995000
108,0.400000,-0.019739,0,0.995000
109,0.400000,-0.019648,0,0.995000
110,0.400000,-0.019528,0,0.995000
111,0.400000,-0.019666,0,0.995000
112,0.400000,-0.019287,0,0.995000
113,0.400000,-0.019185,0,0.995000
114,0.400000,-0.018883,0,0.995000
115,0.400000,-0.019464,0,0.995000
116,0.400000,-0.019028,0,0.995000
117,0.400000,-0.018676,0,0.995000
118,0.400000,-0.019006,0,0.995000
119,0.400000,-0.018514,0,0.995000
120,0.400000,-0.018951,0,0.995000
121,0.400000,-0.018994,0,0.995000
122,0.400000,-0.018794,0,0.995000
123,0.400000,-0.018670,0,0.995000
124,0.400000,-0.018487,0,0.995000
125,0.400000,-0.019019,0,0.995000
126,0.400000,-0.018655,0,0.995000
127,0.400000,-0.018954,0,0.995000
128,0.400000,-0.018790,0,0.995000
