round,sum_w_cohort_proxy,avg_cos_cached_vs_hon_mean,n_in_S_t,decay_factor
0,0.200000,+0.097552,40,0.995000
1,0.200000,+0.105343,40,0.995000
2,0.200000,+0.051309,40,0.995000
3,0.200000,-0.014277,40,0.995000
4,0.200000,-0.087131,40,0.995000
5,0.200000,-0.127434,40,0.995000
6,0.200000,-0.161450,40,0.995000
7,0.200000,-0.172372,40,0.995000
8,0.200000,-0.177115,40,0.995000
9,0.200000,-0.179981,40,0.995000
10,0.200000,-0.190455,40,0.995000
11,0.200000,-0.171346,40,0.995000
12,0.200000,-0.173533,40,0.995000
13,0.200000,-0.193057,40,0.995000
14,0.200000,-0.170395,40,0.995000
15,0.200000,-0.198942,40,0.995000
16,0.200000,-0.149467,40,0.995000
17,0.200000,-0.185177,40,0.995000
18,0.200000,-0.177780,40,0.995000
19,0.200000,+0.055176,40,0.995000
20,0.200000,+0.049762,0,0.995000
21,0.200000,+0.037890,0,0.995000
22,0.200000,+0.034832,0,0.995000
23,0.200000,+0.028576,0,0.995000
24,0.200000,+0.053939,0,0.995000
25,0.200000,+0.002868,0,0.995000
26,0.200000,+0.000972,0,0.995000
27,0.200000,-0.009721,0,0.995000
28,0.200000,+0.010057,0,0.995000
29,0.200000,-0.022889,0,0.995000
30,0.200000,-0.012829,0,0.995000
31,0.200000,-0.029034,0,0.995000
32,0.200000,-0.052873,0,0.995000
33,0.200000,-0.065303,0,0.995000
34,0.200000,-0.047630,0,0.995000
35,0.200000,-0.068135,0,0.995000
36,0.200000,-0.078405,0,0.995000
37,0.200000,-0.076590,0,0.995000
38,0.200000,-0.083112,0,0.995000
39,0.200000,-0.083203,0,0.995000
40,0.200000,-0.111788,0,0.995000
41,0.200000,-0.101693,0,0.995000
42,0.200000,-0.112883,0,0.995000
43,0.200000,-0.107152,0,0.995000
44,0.200000,-0.127803,0,0.995000
45,0.200000,-0.142068,0,0.995000
46,0.200000,-0.143078,0,0.995000
47,0.200000,-0.150942,0,0.995000
48,0.200000,-0.146779,0,0.995000
49,0.200000,-0.127878,0,0.995000
50,0.200000,-0.154068,0,0.995000
51,0.200000,-0.164941,0,0.995000
52,0.200000,-0.171012,0,0.995000
53,0.200000,-0.178755,0,0.995000
54,0.200000,-0.154141,0,0.995000
55,0.200000,-0.174103,0,0.995000
56,0.200000,-0.146035,0,0.995000
57,0.200000,-0.191144,0,0.995000
58,0.200000,-0.171248,0,0.995000
59,0.200000,-0.180524,0,0.995000
60,0.200000,-0.187742,0,0.995000
61,0.200000,-0.193311,0,0.995000
62,0.200000,-0.180991,0,0.995000
63,0.200000,-0.187973,0,0.995000
64,0.200000,-0.207757,0,0.995000
65,0.200000,-0.212123,0,0.995000
66,0.200000,-0.218986,0,0.995000
67,0.200000,-0.196678,0,0.995000
68,0.200000,-0.172816,0,0.995000
69,0.200000,-0.224969,0,0.995000
70,0.200000,-0.223372,0,0.995000
71,0.200000,-0.206961,0,0.995000
72,0.200000,-0.226010,0,0.995000
73,0.200000,-0.207781,0,0.995000
74,0.200000,-0.228919,0,0.995000
75,0.200000,-0.222207,0,0.995000
76,0.200000,-0.187726,0,0.995000
77,0.200000,-0.221906,0,0.995000
78,0.200000,-0.226721,0,0.995000
79,0.200000,-0.178058,0,0.995000
80,0.200000,-0.235924,0,0.995000
81,0.200000,-0.235101,0,0.995000
82,0.200000,-0.222050,0,0.995000
83,0.200000,-0.259753,0,0.995000
84,0.200000,-0.241979,0,0.995000
85,0.200000,-0.202127,0,0.995000
86,0.200000,-0.230105,0,0.995000
87,0.200000,-0.245758,0,0.995000
88,0.200000,-0.229769,0,0.995000
89,0.200000,-0.256501,0,0.995000
90,0.200000,-0.239248,0,0.995000
91,0.200000,-0.263169,0,0.995000
92,0.200000,-0.281365,0,0.995000
93,0.200000,-0.236287,0,0.995000
94,0.200000,-0.254513,0,0.995000
95,0.200000,-0.222534,0,0.995000
96,0.200000,-0.272568,0,0.995000
97,0.200000,-0.257856,0,0.995000
98,0.200000,-0.242224,0,0.995000
99,0.200000,-0.255135,0,0.995000
100,0.200000,-0.268967,0,0.995000
101,0.200000,-0.253365,0,0.995000
102,0.200000,-0.265079,0,0.995000
103,0.200000,-0.258101,0,0.995000
104,0.200000,-0.261602,0,0.995000
105,0.200000,-0.254569,0,0.995000
106,0.200000,-0.242302,0,0.995000
107,0.200000,-0.250584,0,0.995000
108,0.200000,-0.264871,0,0.995000
109,0.200000,-0.248818,0,0.995000
110,0.200000,-0.253480,0,0.995000
111,0.200000,-0.274728,0,0.995000
112,0.200000,-0.279312,0,0.995000
113,0.200000,-0.221286,0,0.995000
114,0.200000,-0.229092,0,0.995000
115,0.200000,-0.283432,0,0.995000
116,0.200000,-0.249120,0,0.995000
117,0.200000,-0.255378,0,0.995000
118,0.200000,-0.252450,0,0.995000
119,0.200000,-0.278321,0,0.995000
120,0.200000,-0.177442,0,0.995000
121,0.200000,-0.203555,0,0.995000
122,0.200000,-0.285647,0,0.995000
123,0.200000,-0.271666,0,0.995000
124,0.200000,-0.255237,0,0.995000
125,0.200000,-0.292122,0,0.995000
126,0.200000,-0.250024,0,0.995000
127,0.200000,-0.256909,0,0.995000
128,0.200000,-0.237871,0,0.995000
129,0.200000,-0.233197,0,0.995000
130,0.200000,-0.238406,0,0.995000
131,0.200000,-0.259559,0,0.995000
132,0.200000,-0.274241,0,0.995000
133,0.200000,-0.214373,0,0.995000
134,0.200000,-0.255076,0,0.995000
135,0.200000,-0.301066,0,0.995000
136,0.200000,-0.281593,0,0.995000
137,0.200000,-0.259729,0,0.995000
138,0.200000,-0.296136,0,0.995000
139,0.200000,-0.247010,0,0.995000
140,0.200000,-0.258103,0,0.995000
141,0.200000,-0.294751,0,0.995000
142,0.200000,-0.291392,0,0.995000
143,0.200000,-0.254451,0,0.995000
144,0.200000,-0.248121,0,0.995000
145,0.200000,-0.296032,0,0.995000
146,0.200000,-0.278363,0,0.995000
147,0.200000,-0.262139,0,0.995000
148,0.200000,-0.268356,0,0.995000
149,0.200000,-0.224616,0,0.995000
150,0.200000,-0.305240,0,0.995000
151,0.200000,-0.274904,0,0.995000
152,0.200000,-0.209684,0,0.995000
153,0.200000,-0.309927,0,0.995000
154,0.200000,-0.221375,0,0.995000
155,0.200000,-0.300152,0,0.995000
156,0.200000,-0.233312,0,0.995000
157,0.200000,-0.292281,0,0.995000
158,0.200000,-0.283254,0,0.995000
159,0.200000,-0.298314,0,0.995000
160,0.200000,-0.298243,0,0.995000
161,0.200000,-0.239295,0,0.995000
162,0.200000,-0.224818,0,0.995000
163,0.200000,-0.276525,0,0.995000
164,0.200000,-0.239740,0,0.995000
165,0.200000,-0.302407,0,0.995000
166,0.200000,-0.243966,0,0.995000
