round,test_acc,test_loss
0,0.068600,2.309219
5,0.419600,2.040739
10,0.678700,1.712638
15,0.720100,1.427988
20,0.683600,1.226363
25,0.568800,1.227204
30,0.580700,1.156825
35,0.598700,1.098788
40,0.617300,1.051883
45,0.632900,1.011196
50,0.643800,0.974984
55,0.658600,0.940940
60,0.669500,0.912393
65,0.679500,0.886490
70,0.687500,0.863652
75,0.694600,0.841955
80,0.704200,0.820363
85,0.710500,0.801257
90,0.717700,0.783277
95,0.724800,0.766481
100,0.731800,0.749540
105,0.737800,0.733753
110,0.744800,0.719541
115,0.752700,0.705350
120,0.757900,0.692658
125,0.763700,0.680307
130,0.770000,0.669519
135,0.773100,0.659431
140,0.778100,0.648262
145,0.784600,0.638048
150,0.789000,0.628784
155,0.793900,0.618594
160,0.797100,0.611781
165,0.800900,0.602749
170,0.803100,0.596063
175,0.805600,0.589629
180,0.809600,0.582346
185,0.812300,0.576073
190,0.815000,0.569338
195,0.817800,0.563832
200,0.819600,0.558351
