round,sum_w_cohort_proxy,avg_cos_cached_vs_hon_mean,n_in_S_t,decay_factor
0,0.400000,+0.084195,80,0.995000
1,0.400000,+0.086108,80,0.995000
2,0.400000,+0.093185,80,0.995000
3,0.400000,+0.082931,80,0.995000
4,0.400000,+0.050926,80,0.995000
5,0.400000,+0.017632,80,0.995000
6,0.400000,-0.030162,80,0.995000
7,0.400000,-0.074543,80,0.995000
8,0.400000,-0.112761,80,0.995000
9,0.400000,-0.144439,80,0.995000
10,0.400000,-0.167837,80,0.995000
11,0.400000,-0.176537,80,0.995000
12,0.400000,-0.195000,80,0.995000
13,0.400000,-0.206371,80,0.995000
14,0.400000,-0.200759,80,0.995000
15,0.400000,-0.218712,80,0.995000
16,0.400000,-0.208093,80,0.995000
17,0.400000,-0.210221,80,0.995000
18,0.400000,-0.209433,80,0.995000
19,0.400000,-0.015427,80,0.995000
20,0.400000,-0.052335,0,0.995000
21,0.400000,-0.112452,0,0.995000
22,0.400000,-0.129980,0,0.995000
23,0.400000,-0.167323,0,0.995000
24,0.400000,-0.140848,0,0.995000
25,0.400000,-0.195303,0,0.995000
26,0.400000,-0.215812,0,0.995000
27,0.400000,-0.221993,0,0.995000
28,0.400000,-0.223689,0,0.995000
29,0.400000,-0.251684,0,0.995000
30,0.400000,-0.242972,0,0.995000
31,0.400000,-0.253555,0,0.995000
32,0.400000,-0.261047,0,0.995000
33,0.400000,-0.261604,0,0.995000
34,0.400000,-0.257930,0,0.995000
35,0.400000,-0.265854,0,0.995000
36,0.400000,-0.269111,0,0.995000
37,0.400000,-0.267772,0,0.995000
38,0.400000,-0.264503,0,0.995000
39,0.400000,-0.262903,0,0.995000
40,0.400000,-0.274390,0,0.995000
41,0.400000,-0.272401,0,0.995000
42,0.400000,-0.270484,0,0.995000
43,0.400000,-0.270438,0,0.995000
44,0.400000,-0.270761,0,0.995000
45,0.400000,-0.271306,0,0.995000
46,0.400000,-0.269768,0,0.995000
47,0.400000,-0.272460,0,0.995000
48,0.400000,-0.267056,0,0.995000
49,0.400000,-0.263076,0,0.995000
50,0.400000,-0.263786,0,0.995000
51,0.400000,-0.262731,0,0.995000
52,0.400000,-0.261410,0,0.995000
53,0.400000,-0.261133,0,0.995000
54,0.400000,-0.256586,0,0.995000
55,0.400000,-0.262019,0,0.995000
56,0.400000,-0.251926,0,0.995000
57,0.400000,-0.254854,0,0.995000
58,0.400000,-0.248605,0,0.995000
59,0.400000,-0.246067,0,0.995000
60,0.400000,-0.242577,0,0.995000
61,0.400000,-0.247520,0,0.995000
62,0.400000,-0.243636,0,0.995000
63,0.400000,-0.243459,0,0.995000
64,0.400000,-0.242643,0,0.995000
65,0.400000,-0.241194,0,0.995000
66,0.400000,-0.231556,0,0.995000
67,0.400000,-0.234678,0,0.995000
68,0.400000,-0.235058,0,0.995000
69,0.400000,-0.228687,0,0.995000
70,0.400000,-0.231097,0,0.995000
71,0.400000,-0.227656,0,0.995000
72,0.400000,-0.233673,0,0.995000
73,0.400000,-0.224307,0,0.995000
74,0.400000,-0.231564,0,0.995000
75,0.400000,-0.230148,0,0.995000
76,0.400000,-0.217812,0,0.995000
77,0.400000,-0.224971,0,0.995000
78,0.400000,-0.223588,0,0.995000
79,0.400000,-0.226213,0,0.995000
80,0.400000,-0.219513,0,0.995000
81,0.400000,-0.224237,0,0.995000
82,0.400000,-0.225706,0,0.995000
83,0.400000,-0.223339,0,0.995000
84,0.400000,-0.223241,0,0.995000
85,0.400000,-0.213781,0,0.995000
86,0.400000,-0.222177,0,0.995000
87,0.400000,-0.215760,0,0.995000
88,0.400000,-0.223723,0,0.995000
89,0.400000,-0.226565,0,0.995000
90,0.400000,-0.212033,0,0.995000
91,0.400000,-0.222745,0,0.995000
92,0.400000,-0.214498,0,0.995000
93,0.400000,-0.229140,0,0.995000
94,0.400000,-0.226423,0,0.995000
95,0.400000,-0.220575,0,0.995000
96,0.400000,-0.215911,0,0.995000
97,0.400000,-0.214358,0,0.995000
98,0.400000,-0.210476,0,0.995000
99,0.400000,-0.207159,0,0.995000
100,0.400000,-0.218163,0,0.995000
101,0.400000,-0.217556,0,0.995000
102,0.400000,-0.217631,0,0.995000
103,0.400000,-0.216888,0,0.995000
104,0.400000,-0.210177,0,0.995000
105,0.400000,-0.204256,0,0.995000
106,0.400000,-0.215135,0,0.995000
107,0.400000,-0.203173,0,0.995000
108,0.400000,-0.219333,0,0.995000
109,0.400000,-0.221000,0,0.995000
110,0.400000,-0.218529,0,0.995000
111,0.400000,-0.208411,0,0.995000
112,0.400000,-0.215049,0,0.995000
113,0.400000,-0.202849,0,0.995000
114,0.400000,-0.208888,0,0.995000
115,0.400000,-0.212070,0,0.995000
116,0.400000,-0.210001,0,0.995000
117,0.400000,-0.202069,0,0.995000
118,0.400000,-0.200340,0,0.995000
119,0.400000,-0.215731,0,0.995000
120,0.400000,-0.211797,0,0.995000
121,0.400000,-0.194933,0,0.995000
122,0.400000,-0.202897,0,0.995000
123,0.400000,-0.207550,0,0.995000
124,0.400000,-0.204351,0,0.995000
125,0.400000,-0.206627,0,0.995000
126,0.400000,-0.195211,0,0.995000
127,0.400000,-0.198797,0,0.995000
128,0.400000,-0.202264,0,0.995000
129,0.400000,-0.201815,0,0.995000
130,0.400000,-0.208274,0,0.995000
131,0.400000,-0.212200,0,0.995000
132,0.400000,-0.201199,0,0.995000
133,0.400000,-0.176455,0,0.995000
134,0.400000,-0.209232,0,0.995000
135,0.400000,-0.207303,0,0.995000
136,0.400000,-0.202570,0,0.995000
137,0.400000,-0.206874,0,0.995000
138,0.400000,-0.201670,0,0.995000
139,0.400000,-0.193101,0,0.995000
140,0.400000,-0.200721,0,0.995000
141,0.400000,-0.198257,0,0.995000
142,0.400000,-0.196352,0,0.995000
143,0.400000,-0.190163,0,0.995000
144,0.400000,-0.185050,0,0.995000
145,0.400000,-0.199874,0,0.995000
146,0.400000,-0.196846,0,0.995000
147,0.400000,-0.198484,0,0.995000
148,0.400000,-0.189513,0,0.995000
149,0.400000,-0.193165,0,0.995000
150,0.400000,-0.198205,0,0.995000
151,0.400000,-0.195429,0,0.995000
152,0.400000,-0.173371,0,0.995000
153,0.400000,-0.199030,0,0.995000
154,0.400000,-0.187363,0,0.995000
155,0.400000,-0.189338,0,0.995000
156,0.400000,-0.194159,0,0.995000
157,0.400000,-0.195414,0,0.995000
158,0.400000,-0.202315,0,0.995000
159,0.400000,-0.195006,0,0.995000
160,0.400000,-0.188344,0,0.995000
161,0.400000,-0.192321,0,0.995000
162,0.400000,-0.184327,0,0.995000
163,0.400000,-0.192457,0,0.995000
164,0.400000,-0.181532,0,0.995000
165,0.400000,-0.192166,0,0.995000
166,0.400000,-0.186735,0,0.995000
167,0.400000,-0.185799,0,0.995000
168,0.400000,-0.185602,0,0.995000
169,0.400000,-0.177880,0,0.995000
170,0.400000,-0.193134,0,0.995000
171,0.400000,-0.188936,0,0.995000
172,0.400000,-0.191634,0,0.995000
173,0.400000,-0.184822,0,0.995000
174,0.400000,-0.187448,0,0.995000
175,0.400000,-0.180450,0,0.995000
176,0.400000,-0.189182,0,0.995000
177,0.400000,-0.192506,0,0.995000
178,0.400000,-0.192119,0,0.995000
179,0.400000,-0.186143,0,0.995000
180,0.400000,-0.183924,0,0.995000
181,0.400000,-0.196687,0,0.995000
182,0.400000,-0.188934,0,0.995000
183,0.400000,-0.178086,0,0.995000
184,0.400000,-0.190822,0,0.995000
185,0.400000,-0.184657,0,0.995000
186,0.400000,-0.180794,0,0.995000
187,0.400000,-0.178881,0,0.995000
188,0.400000,-0.182272,0,0.995000
189,0.400000,-0.183066,0,0.995000
190,0.400000,-0.193258,0,0.995000
191,0.400000,-0.183128,0,0.995000
192,0.400000,-0.174832,0,0.995000
193,0.400000,-0.172678,0,0.995000
194,0.400000,-0.185769,0,0.995000
195,0.400000,-0.186104,0,0.995000
196,0.400000,-0.191693,0,0.995000
197,0.400000,-0.186260,0,0.995000
198,0.400000,-0.175487,0,0.995000
199,0.400000,-0.179735,0,0.995000
