round,test_acc,test_loss
0,0.068600,2.309219
5,0.104900,2.252171
10,0.295000,2.157477
15,0.509200,2.059545
20,0.521700,1.955973
25,0.478200,1.910167
30,0.493200,1.886114
35,0.512300,1.873423
40,0.496200,1.861935
45,0.468600,1.852845
50,0.473300,1.838326
55,0.478100,1.820625
60,0.487000,1.800899
65,0.487300,1.782315
70,0.485600,1.768394
75,0.486600,1.760091
80,0.489000,1.749567
85,0.493200,1.732881
90,0.498100,1.709492
95,0.504000,1.682266
100,0.509300,1.644928
105,0.513900,1.605710
110,0.519700,1.564713
115,0.521400,1.531260
120,0.526500,1.500280
125,0.532900,1.469873
130,0.536700,1.440780
135,0.542500,1.415905
140,0.546300,1.393819
145,0.552100,1.374439
150,0.562300,1.352165
155,0.567100,1.334714
160,0.571300,1.323247
165,0.576100,1.311722
170,0.580400,1.298146
175,0.585700,1.285841
180,0.587100,1.275567
185,0.589900,1.265363
190,0.594900,1.255995
195,0.598600,1.246243
200,0.600300,1.239774
