round,sum_w_cohort_proxy,avg_cos_cached_vs_hon_mean,n_in_S_t,decay_factor
0,0.400000,+0.084195,80,0.995000
1,0.400000,+0.085329,80,0.995000
2,0.400000,+0.066301,80,0.995000
3,0.400000,+0.021035,80,0.995000
4,0.400000,-0.029959,80,0.995000
5,0.400000,-0.064422,80,0.995000
6,0.400000,-0.105065,80,0.995000
7,0.400000,-0.129955,80,0.995000
8,0.400000,-0.153492,80,0.995000
9,0.400000,-0.166253,80,0.995000
10,0.400000,-0.172131,80,0.995000
11,0.400000,-0.171416,80,0.995000
12,0.400000,-0.173963,80,0.995000
13,0.400000,-0.178810,80,0.995000
14,0.400000,-0.166622,80,0.995000
15,0.400000,-0.182602,80,0.995000
16,0.400000,-0.164694,80,0.995000
17,0.400000,-0.166056,80,0.995000
18,0.400000,-0.160999,80,0.995000
19,0.400000,+0.044318,80,0.995000
20,0.400000,+0.013806,0,0.995000
21,0.400000,-0.029752,0,0.995000
22,0.400000,-0.031671,0,0.995000
23,0.400000,-0.061005,0,0.995000
24,0.400000,-0.031046,0,0.995000
25,0.400000,-0.093072,0,0.995000
26,0.400000,-0.114465,0,0.995000
27,0.400000,-0.123791,0,0.995000
28,0.400000,-0.126076,0,0.995000
29,0.400000,-0.155364,0,0.995000
30,0.400000,-0.148399,0,0.995000
31,0.400000,-0.163020,0,0.995000
32,0.400000,-0.178529,0,0.995000
33,0.400000,-0.183499,0,0.995000
34,0.400000,-0.188990,0,0.995000
35,0.400000,-0.197606,0,0.995000
36,0.400000,-0.207584,0,0.995000
37,0.400000,-0.211457,0,0.995000
38,0.400000,-0.211269,0,0.995000
39,0.400000,-0.212976,0,0.995000
40,0.400000,-0.223028,0,0.995000
41,0.400000,-0.223209,0,0.995000
42,0.400000,-0.227370,0,0.995000
43,0.400000,-0.228831,0,0.995000
44,0.400000,-0.228507,0,0.995000
45,0.400000,-0.228583,0,0.995000
46,0.400000,-0.228940,0,0.995000
47,0.400000,-0.228630,0,0.995000
48,0.400000,-0.224479,0,0.995000
49,0.400000,-0.226775,0,0.995000
50,0.400000,-0.229990,0,0.995000
51,0.400000,-0.223405,0,0.995000
52,0.400000,-0.226495,0,0.995000
53,0.400000,-0.223949,0,0.995000
54,0.400000,-0.218656,0,0.995000
55,0.400000,-0.219408,0,0.995000
56,0.400000,-0.214811,0,0.995000
57,0.400000,-0.215140,0,0.995000
58,0.400000,-0.215203,0,0.995000
59,0.400000,-0.208605,0,0.995000
60,0.400000,-0.210987,0,0.995000
61,0.400000,-0.211676,0,0.995000
62,0.400000,-0.202368,0,0.995000
63,0.400000,-0.214115,0,0.995000
64,0.400000,-0.209797,0,0.995000
65,0.400000,-0.211195,0,0.995000
66,0.400000,-0.208780,0,0.995000
67,0.400000,-0.206247,0,0.995000
68,0.400000,-0.200789,0,0.995000
69,0.400000,-0.204645,0,0.995000
70,0.400000,-0.205823,0,0.995000
71,0.400000,-0.207007,0,0.995000
72,0.400000,-0.208453,0,0.995000
73,0.400000,-0.202284,0,0.995000
74,0.400000,-0.204547,0,0.995000
75,0.400000,-0.193653,0,0.995000
76,0.400000,-0.199114,0,0.995000
77,0.400000,-0.194983,0,0.995000
78,0.400000,-0.201821,0,0.995000
79,0.400000,-0.186007,0,0.995000
80,0.400000,-0.194330,0,0.995000
81,0.400000,-0.197643,0,0.995000
82,0.400000,-0.195550,0,0.995000
83,0.400000,-0.199414,0,0.995000
84,0.400000,-0.198479,0,0.995000
85,0.400000,-0.192141,0,0.995000
86,0.400000,-0.194539,0,0.995000
87,0.400000,-0.193952,0,0.995000
88,0.400000,-0.191947,0,0.995000
89,0.400000,-0.193350,0,0.995000
90,0.400000,-0.188133,0,0.995000
91,0.400000,-0.192441,0,0.995000
92,0.400000,-0.193754,0,0.995000
93,0.400000,-0.185674,0,0.995000
94,0.400000,-0.185972,0,0.995000
95,0.400000,-0.184913,0,0.995000
96,0.400000,-0.185641,0,0.995000
97,0.400000,-0.189364,0,0.995000
98,0.400000,-0.181801,0,0.995000
99,0.400000,-0.185888,0,0.995000
100,0.400000,-0.188930,0,0.995000
101,0.400000,-0.186850,0,0.995000
102,0.400000,-0.183443,0,0.995000
103,0.400000,-0.179229,0,0.995000
104,0.400000,-0.178519,0,0.995000
105,0.400000,-0.176478,0,0.995000
106,0.400000,-0.172317,0,0.995000
107,0.400000,-0.180031,0,0.995000
108,0.400000,-0.182015,0,0.995000
109,0.400000,-0.176489,0,0.995000
110,0.400000,-0.173682,0,0.995000
111,0.400000,-0.179023,0,0.995000
112,0.400000,-0.175620,0,0.995000
113,0.400000,-0.168093,0,0.995000
114,0.400000,-0.169640,0,0.995000
115,0.400000,-0.174050,0,0.995000
116,0.400000,-0.171503,0,0.995000
117,0.400000,-0.165755,0,0.995000
118,0.400000,-0.171050,0,0.995000
119,0.400000,-0.170365,0,0.995000
120,0.400000,-0.157922,0,0.995000
121,0.400000,-0.161940,0,0.995000
122,0.400000,-0.169354,0,0.995000
123,0.400000,-0.163695,0,0.995000
124,0.400000,-0.172248,0,0.995000
125,0.400000,-0.167641,0,0.995000
126,0.400000,-0.164668,0,0.995000
127,0.400000,-0.162778,0,0.995000
128,0.400000,-0.163564,0,0.995000
129,0.400000,-0.159364,0,0.995000
130,0.400000,-0.163780,0,0.995000
131,0.400000,-0.157933,0,0.995000
132,0.400000,-0.162236,0,0.995000
133,0.400000,-0.152806,0,0.995000
134,0.400000,-0.156719,0,0.995000
135,0.400000,-0.165129,0,0.995000
136,0.400000,-0.158062,0,0.995000
137,0.400000,-0.156201,0,0.995000
138,0.400000,-0.157218,0,0.995000
139,0.400000,-0.149938,0,0.995000
140,0.400000,-0.153246,0,0.995000
141,0.400000,-0.158814,0,0.995000
142,0.400000,-0.156016,0,0.995000
143,0.400000,-0.152800,0,0.995000
144,0.400000,-0.152955,0,0.995000
145,0.400000,-0.156254,0,0.995000
146,0.400000,-0.149593,0,0.995000
147,0.400000,-0.154127,0,0.995000
148,0.400000,-0.153511,0,0.995000
149,0.400000,-0.146934,0,0.995000
150,0.400000,-0.159904,0,0.995000
151,0.400000,-0.155152,0,0.995000
152,0.400000,-0.144323,0,0.995000
153,0.400000,-0.158666,0,0.995000
154,0.400000,-0.140663,0,0.995000
155,0.400000,-0.149888,0,0.995000
156,0.400000,-0.151012,0,0.995000
157,0.400000,-0.147662,0,0.995000
158,0.400000,-0.146506,0,0.995000
159,0.400000,-0.147731,0,0.995000
160,0.400000,-0.148439,0,0.995000
161,0.400000,-0.141793,0,0.995000
162,0.400000,-0.138140,0,0.995000
163,0.400000,-0.149371,0,0.995000
164,0.400000,-0.143314,0,0.995000
165,0.400000,-0.145059,0,0.995000
166,0.400000,-0.147595,0,0.995000
167,0.400000,-0.140121,0,0.995000
168,0.400000,-0.147510,0,0.995000
169,0.400000,-0.140435,0,0.995000
170,0.400000,-0.132106,0,0.995000
171,0.400000,-0.132823,0,0.995000
172,0.400000,-0.140593,0,0.995000
173,0.400000,-0.137850,0,0.995000
174,0.400000,-0.131360,0,0.995000
175,0.400000,-0.140171,0,0.995000
176,0.400000,-0.141461,0,0.995000
177,0.400000,-0.132437,0,0.995000
178,0.400000,-0.139366,0,0.995000
179,0.400000,-0.141470,0,0.995000
180,0.400000,-0.134923,0,0.995000
181,0.400000,-0.125903,0,0.995000
182,0.400000,-0.137620,0,0.995000
183,0.400000,-0.138155,0,0.995000
184,0.400000,-0.143478,0,0.995000
185,0.400000,-0.138839,0,0.995000
186,0.400000,-0.137716,0,0.995000
