round,test_acc,test_loss
0,0.068600,2.309219
5,0.209300,2.163230
10,0.605500,1.975431
15,0.652300,1.798993
20,0.660800,1.625610
25,0.593100,1.520904
30,0.575400,1.458483
35,0.578800,1.415724
40,0.580800,1.388649
45,0.585400,1.364388
50,0.590800,1.338487
55,0.593200,1.308862
60,0.599000,1.277273
65,0.606700,1.245569
70,0.616100,1.215030
75,0.623600,1.184380
80,0.629300,1.155105
85,0.636900,1.127311
90,0.644900,1.100874
95,0.654100,1.075713
100,0.664500,1.051528
105,0.672400,1.028682
110,0.681900,1.006683
115,0.692600,0.986285
120,0.703200,0.965883
125,0.709700,0.946949
130,0.715300,0.928746
135,0.722100,0.911199
140,0.728100,0.893866
145,0.733900,0.877178
150,0.739900,0.861687
155,0.743800,0.846962
160,0.747000,0.833468
165,0.751400,0.820530
170,0.756200,0.807833
175,0.760500,0.795688
180,0.764700,0.784090
185,0.769300,0.772309
190,0.772800,0.761160
195,0.776100,0.751326
200,0.781400,0.741311
