round,sum_w_cohort_proxy,avg_cos_cached_vs_hon_mean,n_in_S_t,decay_factor
0,0.400000,+0.084195,80,0.995000
1,0.400000,+0.086464,80,0.995000
2,0.400000,+0.092384,80,0.995000
3,0.400000,+0.078148,80,0.995000
4,0.400000,+0.040834,80,0.995000
5,0.400000,+0.003210,80,0.995000
6,0.400000,-0.047034,80,0.995000
7,0.400000,-0.088728,80,0.995000
8,0.400000,-0.125049,80,0.995000
9,0.400000,-0.153855,80,0.995000
10,0.400000,-0.173281,80,0.995000
11,0.400000,-0.180151,80,0.995000
12,0.400000,-0.195584,80,0.995000
13,0.400000,-0.205977,80,0.995000
14,0.400000,-0.199857,80,0.995000
15,0.400000,-0.218111,80,0.995000
16,0.400000,-0.205036,80,0.995000
17,0.400000,-0.207373,80,0.995000
18,0.400000,-0.205936,80,0.995000
19,0.400000,-0.012750,80,0.995000
20,0.400000,-0.046935,0,0.995000
21,0.400000,-0.101311,0,0.995000
22,0.400000,-0.114400,0,0.995000
23,0.400000,-0.150224,0,0.995000
24,0.400000,-0.123472,0,0.995000
25,0.400000,-0.180278,0,0.995000
26,0.400000,-0.200491,0,0.995000
27,0.400000,-0.206371,0,0.995000
28,0.400000,-0.206944,0,0.995000
29,0.400000,-0.236106,0,0.995000
30,0.400000,-0.227237,0,0.995000
31,0.400000,-0.240877,0,0.995000
32,0.400000,-0.251471,0,0.995000
33,0.400000,-0.254063,0,0.995000
34,0.400000,-0.251306,0,0.995000
35,0.400000,-0.259266,0,0.995000
36,0.400000,-0.261595,0,0.995000
37,0.400000,-0.260122,0,0.995000
38,0.400000,-0.256441,0,0.995000
39,0.400000,-0.255354,0,0.995000
40,0.400000,-0.266427,0,0.995000
41,0.400000,-0.264554,0,0.995000
42,0.400000,-0.262628,0,0.995000
43,0.400000,-0.262857,0,0.995000
44,0.400000,-0.263261,0,0.995000
45,0.400000,-0.263573,0,0.995000
46,0.400000,-0.261953,0,0.995000
47,0.400000,-0.264602,0,0.995000
48,0.400000,-0.258671,0,0.995000
49,0.400000,-0.254877,0,0.995000
50,0.400000,-0.255712,0,0.995000
51,0.400000,-0.253360,0,0.995000
52,0.400000,-0.252641,0,0.995000
53,0.400000,-0.252497,0,0.995000
54,0.400000,-0.247909,0,0.995000
55,0.400000,-0.253367,0,0.995000
56,0.400000,-0.243683,0,0.995000
57,0.400000,-0.244995,0,0.995000
58,0.400000,-0.238755,0,0.995000
59,0.400000,-0.237036,0,0.995000
60,0.400000,-0.233908,0,0.995000
61,0.400000,-0.238194,0,0.995000
62,0.400000,-0.233794,0,0.995000
63,0.400000,-0.234841,0,0.995000
64,0.400000,-0.234259,0,0.995000
65,0.400000,-0.234192,0,0.995000
66,0.400000,-0.224043,0,0.995000
67,0.400000,-0.226869,0,0.995000
68,0.400000,-0.229236,0,0.995000
69,0.400000,-0.224302,0,0.995000
70,0.400000,-0.226390,0,0.995000
71,0.400000,-0.224294,0,0.995000
72,0.400000,-0.231311,0,0.995000
73,0.400000,-0.222214,0,0.995000
74,0.400000,-0.230106,0,0.995000
75,0.400000,-0.228738,0,0.995000
76,0.400000,-0.216437,0,0.995000
77,0.400000,-0.224007,0,0.995000
78,0.400000,-0.222995,0,0.995000
79,0.400000,-0.224891,0,0.995000
80,0.400000,-0.219008,0,0.995000
81,0.400000,-0.224515,0,0.995000
82,0.400000,-0.225578,0,0.995000
83,0.400000,-0.223752,0,0.995000
84,0.400000,-0.222987,0,0.995000
85,0.400000,-0.214001,0,0.995000
86,0.400000,-0.221796,0,0.995000
87,0.400000,-0.216016,0,0.995000
88,0.400000,-0.223147,0,0.995000
89,0.400000,-0.225840,0,0.995000
90,0.400000,-0.213317,0,0.995000
91,0.400000,-0.222132,0,0.995000
92,0.400000,-0.216253,0,0.995000
93,0.400000,-0.227046,0,0.995000
94,0.400000,-0.225982,0,0.995000
95,0.400000,-0.221649,0,0.995000
96,0.400000,-0.217490,0,0.995000
97,0.400000,-0.213660,0,0.995000
98,0.400000,-0.209743,0,0.995000
99,0.400000,-0.209418,0,0.995000
100,0.400000,-0.218798,0,0.995000
101,0.400000,-0.217588,0,0.995000
102,0.400000,-0.217614,0,0.995000
103,0.400000,-0.216406,0,0.995000
104,0.400000,-0.213574,0,0.995000
105,0.400000,-0.207230,0,0.995000
106,0.400000,-0.214348,0,0.995000
107,0.400000,-0.206001,0,0.995000
108,0.400000,-0.219930,0,0.995000
109,0.400000,-0.220938,0,0.995000
110,0.400000,-0.217595,0,0.995000
111,0.400000,-0.210456,0,0.995000
112,0.400000,-0.213882,0,0.995000
113,0.400000,-0.203674,0,0.995000
114,0.400000,-0.210169,0,0.995000
115,0.400000,-0.213781,0,0.995000
116,0.400000,-0.208701,0,0.995000
117,0.400000,-0.206020,0,0.995000
118,0.400000,-0.205150,0,0.995000
119,0.400000,-0.216074,0,0.995000
120,0.400000,-0.206671,0,0.995000
121,0.400000,-0.196550,0,0.995000
122,0.400000,-0.207003,0,0.995000
123,0.400000,-0.209702,0,0.995000
124,0.400000,-0.207909,0,0.995000
125,0.400000,-0.209053,0,0.995000
