round,test_acc,test_loss
0,0.068600,2.309219
5,0.104700,2.245726
10,0.348500,2.143692
15,0.527000,2.042243
20,0.547000,1.934657
25,0.494000,1.882240
30,0.505300,1.853125
35,0.521600,1.846458
40,0.513000,1.839253
45,0.486600,1.831746
50,0.481800,1.821285
55,0.488700,1.803330
60,0.493300,1.782514
65,0.485400,1.763156
70,0.482800,1.747823
75,0.487200,1.733899
80,0.494300,1.713386
85,0.502500,1.685096
90,0.510200,1.650413
95,0.522000,1.612520
100,0.529000,1.569951
105,0.535200,1.528090
110,0.540600,1.487113
115,0.544900,1.447875
120,0.550400,1.412362
125,0.555400,1.381965
130,0.561200,1.352979
135,0.568000,1.327266
140,0.573500,1.303142
145,0.580700,1.283235
150,0.588900,1.263917
155,0.595500,1.245697
160,0.600000,1.233097
165,0.607200,1.219202
170,0.613300,1.207176
175,0.618500,1.195146
180,0.621200,1.183999
185,0.626200,1.174452
190,0.632300,1.164708
195,0.636600,1.154879
200,0.639700,1.147146
