round,test_acc,test_loss
0,0.068600,2.309219
5,0.212900,2.170541
10,0.423200,2.015227
15,0.555700,1.867368
20,0.670400,1.713537
25,0.632700,1.553000
30,0.640300,1.398799
35,0.683800,1.258264
40,0.673800,1.151779
45,0.703000,1.051355
50,0.730600,0.968581
55,0.748900,0.901836
60,0.763400,0.847749
65,0.775600,0.800102
70,0.785300,0.762708
75,0.803300,0.721202
80,0.802800,0.697441
85,0.815700,0.666520
90,0.824600,0.640012
95,0.822400,0.622160
100,0.835300,0.599642
105,0.841300,0.581502
110,0.842200,0.567034
115,0.844800,0.554537
120,0.852400,0.538128
125,0.855300,0.527734
130,0.857300,0.517614
135,0.857300,0.507164
140,0.858600,0.500620
145,0.864700,0.486748
150,0.865500,0.480292
155,0.867300,0.472767
160,0.864900,0.469565
165,0.869400,0.459709
170,0.873900,0.449076
175,0.870400,0.449409
180,0.872700,0.442181
185,0.876400,0.434147
190,0.876600,0.430085
195,0.876200,0.428836
200,0.878700,0.421976
