round,cohort_size,sum_w_cohort,avg_w_cohort,avg_norm_cached_g,avg_cos_cached_vs_honest_mean,n_in_S_t,decay_factor_this_round
0,80,0.421053,0.005263,45.997093,+0.084281,80,0.995000
1,80,0.421053,0.005263,47.799671,+0.076928,80,0.995000
2,80,0.421053,0.005263,44.573902,+0.036983,80,0.995000
3,80,0.421053,0.005263,40.150587,-0.018353,80,0.995000
4,80,0.421053,0.005263,36.415555,-0.065467,80,0.995000
5,80,0.421053,0.005263,33.415239,-0.086821,80,0.995000
6,80,0.421053,0.005263,31.279579,-0.117995,80,0.995000
7,80,0.421053,0.005263,29.696313,-0.104921,80,0.995000
8,80,0.421053,0.005263,28.269837,-0.123365,80,0.995000
9,80,0.421053,0.005263,27.085153,-0.131465,80,0.995000
10,80,0.421053,0.005263,26.093646,-0.131708,80,0.995000
11,80,0.421053,0.005263,25.057724,-0.117273,80,0.995000
12,80,0.421053,0.005263,24.181877,-0.127271,80,0.995000
13,80,0.421053,0.005263,23.581322,-0.143526,80,0.995000
14,80,0.421053,0.005263,22.805819,-0.113709,80,0.995000
15,80,0.421053,0.005263,22.175343,-0.134106,80,0.995000
16,80,0.421053,0.005263,21.546946,-0.132717,80,0.995000
17,80,0.421053,0.005263,21.062485,-0.117273,80,0.995000
18,80,0.421053,0.005263,20.671861,-0.143376,80,0.995000
19,80,0.421053,0.005263,20.171160,-0.136619,80,0.995000
20,80,0.421053,0.005263,20.070304,-0.134693,0,0.995000
21,80,0.421053,0.005263,19.969952,-0.137350,0,0.995000
22,80,0.421053,0.005263,19.870103,-0.136691,0,0.995000
23,80,0.421053,0.005263,19.770752,-0.142401,0,0.995000
24,80,0.421053,0.005263,19.671898,-0.164353,0,0.995000
25,80,0.421053,0.005263,19.573539,-0.151898,0,0.995000
26,80,0.421053,0.005263,19.475671,-0.159188,0,0.995000
27,80,0.421053,0.005263,19.378293,-0.147906,0,0.995000
28,80,0.421053,0.005263,19.281401,-0.182558,0,0.995000
29,80,0.421053,0.005263,19.184994,-0.186801,0,0.995000
30,80,0.421053,0.005263,19.089069,-0.191580,0,0.995000
