round,test_acc,test_loss,sum_byz
0,0.082400,2.309957,0.000000
10,0.633300,1.695296,0.000000
20,0.743900,1.194524,0.000000
30,0.787200,0.904028,0.000000
40,0.807500,0.734399,0.000000
50,0.823800,0.632648,0.000000
60,0.834600,0.569776,0.000000
70,0.843000,0.526413,0.000000
80,0.850400,0.495973,0.000000
90,0.856500,0.475321,0.000000
100,0.862400,0.459555,0.000000
110,0.865200,0.449281,0.000000
120,0.868000,0.441504,0.000000
130,0.872100,0.435416,0.000000
140,0.873100,0.431772,0.000000
150,0.874400,0.428944,0.000000
160,0.874500,0.426490,0.000000
170,0.877600,0.423565,0.000000
180,0.879300,0.423897,0.000000
190,0.880900,0.423216,0.000000
200,0.880900,0.422057,0.000000
