round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.000000
10,0.711300,1.458632,0.000000
20,0.808600,0.782095,0.000000
30,0.831300,0.609485,0.000000
40,0.851300,0.518240,0.000000
50,0.864300,0.465610,0.000000
60,0.872900,0.432523,0.000000
70,0.879200,0.410846,0.000000
80,0.884000,0.394272,0.000000
90,0.886600,0.380965,0.000000
100,0.889300,0.370795,0.000000
110,0.892200,0.361220,0.000000
120,0.894700,0.353411,0.000000
130,0.896100,0.346113,0.000000
140,0.898100,0.339951,0.000000
150,0.899500,0.332731,0.000000
160,0.900700,0.327818,0.000000
170,0.901500,0.322663,0.000000
180,0.903600,0.318257,0.000000
190,0.905100,0.312991,0.000000
200,0.906500,0.309253,0.000000
