round,cohort_size,sum_w_cohort,avg_w_cohort,avg_norm_cached_g,avg_cos_cached_vs_honest_mean,n_in_S_t,decay_factor_this_round
0,80,0.421053,0.005263,28.521089,+0.057608,80,0.995000
1,80,0.421053,0.005263,31.556051,+0.086756,80,0.995000
2,80,0.421053,0.005263,33.111975,+0.098418,80,0.995000
3,80,0.421053,0.005263,32.691993,+0.108666,80,0.995000
4,80,0.421053,0.005263,31.040034,+0.128865,80,0.995000
5,80,0.420360,0.005255,29.159241,+0.153667,80,0.995000
6,80,0.416601,0.005208,27.232738,+0.177256,80,0.995000
7,80,0.416468,0.005206,25.749947,+0.232333,80,0.995000
8,80,0.417713,0.005221,24.341051,+0.260216,80,0.995000
9,80,0.418849,0.005236,22.916658,+0.282913,80,0.995000
10,80,0.419484,0.005244,21.778671,+0.307783,80,0.995000
11,80,0.421053,0.005263,20.424807,+0.315332,80,0.995000
12,80,0.421053,0.005263,19.278054,+0.323209,80,0.995000
13,80,0.421053,0.005263,18.445126,+0.303379,80,0.995000
14,80,0.421053,0.005263,17.561837,+0.305056,80,0.995000
15,80,0.421053,0.005263,16.820064,+0.293766,80,0.995000
16,80,0.421053,0.005263,15.980721,+0.269075,80,0.995000
17,80,0.420848,0.005261,15.304039,+0.276012,80,0.995000
18,80,0.421053,0.005263,14.897894,+0.235644,80,0.995000
19,80,0.421053,0.005263,11.729619,+0.255727,80,0.995000
20,80,0.421053,0.005263,11.670971,+0.236480,0,0.995000
21,80,0.421053,0.005263,11.612616,+0.205237,0,0.995000
22,80,0.421053,0.005263,11.554553,+0.192314,0,0.995000
23,80,0.421053,0.005263,11.496780,+0.172028,0,0.995000
24,80,0.421053,0.005263,11.439296,+0.149008,0,0.995000
25,80,0.421053,0.005263,11.382099,+0.134882,0,0.995000
26,80,0.421053,0.005263,11.325189,+0.118536,0,0.995000
27,80,0.421053,0.005263,11.268563,+0.093136,0,0.995000
28,80,0.421053,0.005263,11.212220,+0.101769,0,0.995000
29,80,0.421053,0.005263,11.156159,+0.075276,0,0.995000
30,80,0.421053,0.005263,11.100378,+0.062614,0,0.995000
31,80,0.421053,0.005263,11.044876,+0.046042,0,0.995000
32,80,0.421053,0.005263,10.989652,+0.044556,0,0.995000
33,80,0.421053,0.005263,10.934704,+0.028021,0,0.995000
34,80,0.421053,0.005263,10.880030,+0.019676,0,0.995000
35,80,0.421053,0.005263,10.825630,+0.007079,0,0.995000
36,80,0.421053,0.005263,10.771502,+0.004500,0,0.995000
37,80,0.421053,0.005263,10.717644,-0.020176,0,0.995000
38,80,0.421053,0.005263,10.664056,-0.022327,0,0.995000
39,80,0.421053,0.005263,10.610736,-0.027563,0,0.995000
40,80,0.421053,0.005263,10.557682,-0.043818,0,0.995000
41,80,0.421053,0.005263,10.504894,-0.049648,0,0.995000
42,80,0.421053,0.005263,10.452369,-0.060502,0,0.995000
