round,test_acc,test_loss,sum_byz
0,0.127100,2.303869,0.000000
10,0.680800,1.682081,0.000000
20,0.703600,1.167125,0.000000
30,0.603900,1.085021,0.000000
40,0.627300,1.020450,0.000000
50,0.645300,0.979684,0.000000
60,0.662000,0.945274,0.000000
70,0.677700,0.909479,0.000000
80,0.690700,0.874136,0.000000
90,0.701400,0.839306,0.000000
100,0.717500,0.803945,0.000000
110,0.733000,0.771336,0.000000
120,0.748500,0.742934,0.000000
130,0.760500,0.717451,0.000000
140,0.771200,0.694442,0.000000
150,0.778200,0.673898,0.000000
160,0.785700,0.654322,0.000000
170,0.793600,0.637702,0.000000
180,0.799200,0.622405,0.000000
190,0.804500,0.608162,0.000000
200,0.809000,0.594040,0.000000
