round,cohort_size,sum_w_cohort,avg_w_cohort,avg_norm_cached_g,avg_cos_cached_vs_honest_mean,n_in_S_t,decay_factor_this_round
0,80,0.421053,0.005263,45.978767,+0.108775,80,0.995000
1,80,0.421053,0.005263,47.490816,+0.110389,80,0.995000
2,80,0.421053,0.005263,44.179157,+0.060647,80,0.995000
3,80,0.421053,0.005263,39.851754,-0.002838,80,0.995000
4,80,0.421053,0.005263,36.141157,-0.043990,80,0.995000
5,80,0.421053,0.005263,33.181533,-0.082924,80,0.995000
6,80,0.421053,0.005263,31.233036,-0.095938,80,0.995000
7,80,0.421053,0.005263,29.540450,-0.103046,80,0.995000
8,80,0.421053,0.005263,28.082679,-0.108107,80,0.995000
9,80,0.421053,0.005263,26.829869,-0.126738,80,0.995000
10,80,0.421053,0.005263,25.705463,-0.107449,80,0.995000
11,80,0.421053,0.005263,24.923975,-0.106256,80,0.995000
12,80,0.421053,0.005263,24.057415,-0.130950,80,0.995000
13,80,0.421053,0.005263,23.279787,-0.109181,80,0.995000
14,80,0.421053,0.005263,22.539108,-0.123223,80,0.995000
15,80,0.421053,0.005263,22.050491,-0.134653,80,0.995000
16,80,0.420975,0.005262,21.419295,-0.154875,80,0.995000
17,80,0.421053,0.005263,20.934285,-0.156377,80,0.995000
18,80,0.421053,0.005263,20.594916,-0.144896,80,0.995000
19,80,0.421053,0.005263,16.703904,+0.049439,80,0.995000
20,80,0.421053,0.005263,16.620385,+0.024386,0,0.995000
21,80,0.421053,0.005263,16.537283,+0.000157,0,0.995000
22,80,0.421053,0.005263,16.454596,-0.001849,0,0.995000
23,80,0.421053,0.005263,16.372323,-0.016865,0,0.995000
24,80,0.421053,0.005263,16.290462,-0.046636,0,0.995000
25,80,0.421053,0.005263,16.209009,-0.053597,0,0.995000
26,80,0.421053,0.005263,16.127964,-0.093143,0,0.995000
27,80,0.421053,0.005263,16.047324,-0.095941,0,0.995000
28,80,0.421053,0.005263,15.967088,-0.124510,0,0.995000
29,80,0.421053,0.005263,15.887252,-0.135590,0,0.995000
30,80,0.421053,0.005263,15.807816,-0.157122,0,0.995000
