round,cohort_size,sum_w_cohort,avg_w_cohort,avg_norm_cached_g,avg_cos_cached_vs_honest_mean,n_in_S_t,decay_factor_this_round
0,80,0.368421,0.004605,33.637188,-0.024871,80,0.995000
1,80,0.368421,0.004605,34.469898,-0.024866,80,0.995000
2,80,0.368421,0.004605,34.259147,-0.044358,80,0.995000
3,80,0.368421,0.004605,32.996127,-0.075528,80,0.995000
4,80,0.368421,0.004605,31.090170,-0.116151,80,0.995000
5,80,0.368421,0.004605,29.240819,-0.139871,80,0.995000
6,80,0.368421,0.004605,27.478239,-0.172798,80,0.995000
7,80,0.368421,0.004605,26.043603,-0.195657,80,0.995000
8,80,0.368421,0.004605,24.821243,-0.205503,80,0.995000
9,80,0.368421,0.004605,23.723979,-0.219044,80,0.995000
10,80,0.368421,0.004605,22.733086,-0.218317,80,0.995000
11,80,0.368421,0.004605,21.940561,-0.171019,80,0.995000
12,80,0.368421,0.004605,21.166235,-0.198076,80,0.995000
13,80,0.368421,0.004605,20.496806,-0.204222,80,0.995000
14,80,0.368421,0.004605,19.892915,-0.249516,80,0.995000
15,80,0.368421,0.004605,19.345621,-0.227013,80,0.995000
16,80,0.368421,0.004605,18.837453,-0.264523,80,0.995000
17,80,0.368421,0.004605,18.282624,-0.254430,80,0.995000
18,80,0.368421,0.004605,17.881235,-0.277292,80,0.995000
19,80,0.368421,0.004605,17.477556,-0.271818,80,0.995000
20,80,0.368421,0.004605,17.142416,-0.293836,80,0.995000
21,80,0.368421,0.004605,16.681401,-0.305597,80,0.995000
22,80,0.368421,0.004605,16.503784,-0.297607,80,0.995000
23,80,0.368421,0.004605,16.158219,-0.284763,80,0.995000
24,80,0.368421,0.004605,15.827116,-0.322099,80,0.995000
25,80,0.368421,0.004605,15.637547,-0.308054,80,0.995000
26,80,0.368421,0.004605,15.367168,-0.331400,80,0.995000
27,80,0.368421,0.004605,15.099787,-0.329229,80,0.995000
28,80,0.368421,0.004605,14.981114,-0.348212,80,0.995000
29,80,0.368421,0.004605,14.744530,-0.337132,80,0.995000
30,80,0.368421,0.004605,14.566926,-0.352559,80,0.995000
31,80,0.368421,0.004605,14.410307,-0.362506,80,0.995000
32,80,0.368421,0.004605,14.257636,-0.363137,80,0.995000
33,80,0.368421,0.004605,14.116079,-0.373668,80,0.995000
34,80,0.368421,0.004605,13.966996,-0.374305,80,0.995000
35,80,0.368421,0.004605,13.822636,-0.390616,80,0.995000
36,80,0.368421,0.004605,13.718768,-0.385226,80,0.995000
37,80,0.368421,0.004605,13.547562,-0.384699,80,0.995000
38,80,0.368421,0.004605,13.470697,-0.379315,80,0.995000
39,80,0.368421,0.004605,13.401835,-0.401418,80,0.995000
40,80,0.368421,0.004605,13.245986,-0.414713,80,0.995000
41,80,0.368421,0.004605,13.132553,-0.409563,80,0.995000
42,80,0.368421,0.004605,13.066672,-0.390030,80,0.995000
43,80,0.368421,0.004605,12.918236,-0.412829,80,0.995000
44,80,0.368421,0.004605,12.825375,-0.422286,80,0.995000
45,80,0.368421,0.004605,12.787614,-0.412268,80,0.995000
46,80,0.368421,0.004605,12.733119,-0.434510,80,0.995000
47,80,0.368421,0.004605,12.642247,-0.427538,80,0.995000
48,80,0.368421,0.004605,12.579141,-0.423155,80,0.995000
49,80,0.368421,0.004605,12.447568,-0.450557,80,0.995000
50,80,0.368421,0.004605,12.358183,-0.403610,80,0.995000
51,80,0.368421,0.004605,12.306650,-0.427494,80,0.995000
52,80,0.368421,0.004605,12.264152,-0.437824,80,0.995000
53,80,0.368421,0.004605,12.208846,-0.404318,80,0.995000
54,80,0.368421,0.004605,12.152152,-0.462469,80,0.995000
55,80,0.368421,0.004605,12.037486,-0.465405,80,0.995000
56,80,0.368421,0.004605,12.046774,-0.464884,80,0.995000
57,80,0.368421,0.004605,11.963166,-0.451197,80,0.995000
58,80,0.368421,0.004605,11.873541,-0.471858,80,0.995000
59,80,0.368421,0.004605,11.761127,-0.477361,80,0.995000
60,80,0.368421,0.004605,11.822614,-0.473440,80,0.995000
61,80,0.368421,0.004605,11.758522,-0.448601,80,0.995000
62,80,0.368421,0.004605,11.676245,-0.466428,80,0.995000
63,80,0.368421,0.004605,11.667621,-0.459850,80,0.995000
64,80,0.368421,0.004605,11.591620,-0.457446,80,0.995000
65,80,0.368421,0.004605,11.508787,-0.466164,80,0.995000
66,80,0.368421,0.004605,11.535626,-0.463030,80,0.995000
67,80,0.368421,0.004605,11.425426,-0.478111,80,0.995000
68,80,0.368421,0.004605,11.388995,-0.439945,80,0.995000
69,80,0.368421,0.004605,11.351988,-0.433437,80,0.995000
70,80,0.368421,0.004605,11.269800,-0.481739,80,0.995000
71,80,0.368421,0.004605,11.289295,-0.487387,80,0.995000
72,80,0.368421,0.004605,11.195635,-0.478864,80,0.995000
73,80,0.368421,0.004605,11.190984,-0.483335,80,0.995000
74,80,0.368421,0.004605,11.153868,-0.460415,80,0.995000
75,80,0.368421,0.004605,11.095667,-0.504787,80,0.995000
76,80,0.368421,0.004605,11.101296,-0.493791,80,0.995000
77,80,0.368421,0.004605,11.033615,-0.503893,80,0.995000
78,80,0.368421,0.004605,11.011771,-0.503835,80,0.995000
79,80,0.368421,0.004605,10.969672,-0.504163,80,0.995000
80,80,0.368421,0.004605,10.932804,-0.506296,80,0.995000
81,80,0.368421,0.004605,10.942555,-0.502619,80,0.995000
82,80,0.368421,0.004605,10.850677,-0.463439,80,0.995000
83,80,0.368421,0.004605,10.840782,-0.502391,80,0.995000
84,80,0.368421,0.004605,10.713219,-0.493348,80,0.995000
85,80,0.368421,0.004605,10.721717,-0.481577,80,0.995000
86,80,0.368421,0.004605,10.711342,-0.510556,80,0.995000
87,80,0.368421,0.004605,10.649043,-0.470632,80,0.995000
88,80,0.368421,0.004605,10.636285,-0.489755,80,0.995000
89,80,0.368421,0.004605,10.618509,-0.520653,80,0.995000
90,80,0.368421,0.004605,10.598333,-0.465712,80,0.995000
91,80,0.368421,0.004605,10.559850,-0.525092,80,0.995000
92,80,0.368421,0.004605,10.557932,-0.514705,80,0.995000
93,80,0.368421,0.004605,10.513281,-0.515370,80,0.995000
94,80,0.368421,0.004605,10.464429,-0.520440,80,0.995000
95,80,0.368421,0.004605,10.498520,-0.531242,80,0.995000
96,80,0.368421,0.004605,10.412794,-0.513901,80,0.995000
97,80,0.368421,0.004605,10.446663,-0.530721,80,0.995000
98,80,0.368421,0.004605,10.408403,-0.520401,80,0.995000
99,80,0.368421,0.004605,10.384993,-0.536407,80,0.995000
100,80,0.368421,0.004605,10.337381,-0.542547,80,0.995000
101,80,0.368421,0.004605,10.251430,-0.547266,80,0.995000
102,80,0.368421,0.004605,10.329131,-0.522162,80,0.995000
