round,test_acc,test_loss,sum_byz
0,0.082400,2.309957,0.000000
10,0.495700,1.973765,0.000000
20,0.514600,1.639186,0.000000
30,0.528700,1.440274,0.000000
40,0.538400,1.309932,0.000000
50,0.545600,1.217348,0.000000
60,0.553500,1.143281,0.000000
70,0.568000,1.079993,0.000000
80,0.588400,1.022269,0.000000
90,0.616500,0.971501,0.000000
100,0.642800,0.925641,0.000000
110,0.671400,0.882506,0.000000
120,0.694400,0.846473,0.000000
130,0.716100,0.811991,0.000000
140,0.734600,0.782593,0.000000
150,0.748400,0.754583,0.000000
160,0.759600,0.731706,0.000000
170,0.770900,0.709452,0.000000
180,0.779900,0.689289,0.000000
190,0.789100,0.671800,0.000000
200,0.797000,0.654593,0.000000
