round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.000000
10,0.650800,1.711349,0.000000
20,0.693300,1.213596,0.000000
30,0.671200,1.004149,0.000000
40,0.720500,0.848881,0.000000
50,0.754200,0.746563,0.000000
60,0.776600,0.675124,0.000000
70,0.795800,0.622646,0.000000
80,0.810800,0.580592,0.000000
90,0.821300,0.547517,0.000000
100,0.831200,0.521726,0.000000
110,0.840300,0.499338,0.000000
120,0.847400,0.480596,0.000000
130,0.852200,0.466176,0.000000
140,0.857700,0.453129,0.000000
150,0.863700,0.440346,0.000000
160,0.867400,0.429048,0.000000
170,0.870500,0.419583,0.000000
180,0.873200,0.410006,0.000000
190,0.875500,0.403203,0.000000
200,0.877700,0.395645,0.000000
