round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.100000
10,0.555100,1.773472,0.042764
20,0.644200,1.304448,0.000000
30,0.680500,1.059965,0.000000
40,0.716500,0.905796,0.062500
50,0.722100,0.871171,0.062500
60,0.784700,0.738915,0.058824
70,0.805900,0.664344,0.086957
80,0.824600,0.618397,0.068966
90,0.841300,0.577407,0.086957
100,0.839600,0.553411,0.000000
110,0.852100,0.524828,0.130435
120,0.847800,0.538271,0.227273
130,0.861900,0.497232,0.052632
140,0.861900,0.486606,0.136364
150,0.868600,0.467538,0.150000
160,0.872600,0.462728,0.166667
170,0.863100,0.459554,0.130435
180,0.877400,0.428410,0.055556
190,0.874800,0.438740,0.000000
200,0.882200,0.409368,0.000000
