round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.100000
10,0.596300,1.836182,0.058824
20,0.643400,1.344631,0.073500
30,0.681800,1.087046,0.073500
40,0.705800,0.935086,0.073500
50,0.729200,0.835156,0.073500
60,0.751500,0.762857,0.073500
70,0.769300,0.708432,0.073500
80,0.786300,0.663737,0.073500
90,0.799500,0.627961,0.073500
100,0.812700,0.598260,0.073500
110,0.821800,0.571337,0.073500
120,0.832000,0.547971,0.073500
130,0.837000,0.530761,0.073500
140,0.843200,0.513444,0.073500
150,0.850200,0.497158,0.073500
160,0.855000,0.483095,0.073500
170,0.859500,0.471124,0.073500
180,0.863200,0.458626,0.073500
190,0.866200,0.449371,0.073500
200,0.869700,0.439639,0.073500
