round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.400000
10,0.207200,2.260046,0.328712
20,0.187100,2.281881,0.296245
30,0.480200,1.991218,0.296245
40,0.494100,1.819087,0.296245
50,0.518700,1.682418,0.296245
60,0.528100,1.569413,0.296245
70,0.533900,1.494475,0.296245
80,0.531800,1.413888,0.296245
90,0.539500,1.357933,0.296245
100,0.547600,1.303979,0.296245
110,0.551800,1.262593,0.296245
120,0.557500,1.224067,0.296245
130,0.561500,1.200517,0.296245
140,0.568000,1.170256,0.296245
150,0.585700,1.118816,0.296245
160,0.603000,1.091297,0.296245
170,0.611500,1.058469,0.296245
180,0.628700,1.029908,0.296245
190,0.641100,1.006062,0.296245
200,0.656900,0.978342,0.296245
