round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.100000
10,0.607200,1.760582,0.010616
20,0.661600,1.318943,0.053113
30,0.674600,1.060987,0.056692
40,0.702600,0.888693,0.057630
50,0.734400,0.771848,0.064292
60,0.776100,0.670884,0.064175
70,0.790200,0.617868,0.059650
80,0.797800,0.583492,0.070379
90,0.825100,0.530864,0.072596
100,0.833000,0.507793,0.072794
110,0.840300,0.488143,0.071127
120,0.855100,0.464932,0.068117
130,0.857400,0.454864,0.069722
140,0.856000,0.447549,0.073940
150,0.868300,0.428178,0.066856
160,0.869000,0.420069,0.069889
170,0.875600,0.406312,0.071872
180,0.875600,0.402077,0.078069
190,0.879200,0.395829,0.072276
200,0.881900,0.386083,0.070630
