round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.100000
10,0.565600,1.733989,0.035147
20,0.621500,1.323135,0.070723
30,0.699200,1.048695,0.081818
40,0.736100,0.904898,0.127451
50,0.780300,0.793823,0.081633
60,0.801700,0.712201,0.067961
70,0.813900,0.654905,0.085714
80,0.825400,0.613406,0.104167
90,0.842600,0.569926,0.110000
100,0.849100,0.543366,0.115385
110,0.855500,0.516667,0.097826
120,0.861000,0.497351,0.113208
130,0.863100,0.485839,0.109890
140,0.867800,0.467633,0.100000
150,0.873300,0.452370,0.084906
160,0.874700,0.443464,0.133333
170,0.877300,0.428504,0.115385
180,0.881200,0.418036,0.072917
190,0.885000,0.409295,0.087719
200,0.884700,0.402712,0.105769
