round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.400000
10,0.457800,1.939815,0.265250
20,0.464900,1.666386,0.252615
30,0.527500,1.461698,0.390909
40,0.537800,1.386393,0.401961
50,0.547300,1.313067,0.448980
60,0.552400,1.246883,0.378641
70,0.560600,1.192715,0.361905
80,0.574100,1.137339,0.458333
90,0.593600,1.089264,0.450000
100,0.616400,1.043349,0.423077
110,0.642500,1.001302,0.391304
120,0.658200,0.964693,0.396226
130,0.674100,0.933335,0.406593
140,0.691700,0.897200,0.433333
150,0.719000,0.848543,0.330189
160,0.733800,0.822596,0.428571
170,0.752300,0.784483,0.413462
180,0.766500,0.760745,0.406250
190,0.775400,0.735684,0.385965
200,0.787300,0.710001,0.413462
