round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.000000
10,0.647800,1.720892,0.000000
20,0.711800,1.205755,0.000000
30,0.768700,0.901099,0.000000
40,0.813700,0.730431,0.000000
50,0.836800,0.628200,0.000000
60,0.851600,0.561236,0.000000
70,0.861200,0.513213,0.000000
80,0.869600,0.477801,0.000000
90,0.874900,0.450389,0.000000
100,0.882000,0.428272,0.000000
110,0.886200,0.410840,0.000000
120,0.890300,0.395966,0.000000
130,0.892800,0.383332,0.000000
140,0.894400,0.372862,0.000000
150,0.897500,0.363360,0.000000
160,0.899700,0.355046,0.000000
170,0.901500,0.347569,0.000000
180,0.903500,0.341221,0.000000
190,0.904900,0.335180,0.000000
200,0.905700,0.329547,0.000000
