round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.000000
10,0.634700,1.667925,0.000000
20,0.711600,1.167756,0.000000
30,0.784000,0.868948,0.000000
40,0.823800,0.703060,0.000000
50,0.853200,0.603722,0.000000
60,0.863000,0.540202,0.000000
70,0.866900,0.497433,0.000000
80,0.874100,0.464863,0.000000
90,0.883700,0.433763,0.000000
100,0.887500,0.413794,0.000000
110,0.891000,0.397243,0.000000
120,0.894200,0.382219,0.000000
130,0.895700,0.373978,0.000000
140,0.895800,0.362757,0.000000
150,0.899800,0.353564,0.000000
160,0.902700,0.343765,0.000000
170,0.903000,0.336441,0.000000
180,0.904300,0.331243,0.000000
190,0.906800,0.324931,0.000000
200,0.908100,0.319459,0.000000
