round,w_dormant,norm_cached_g,cos_cached_vs_honest_mean,in_S_t,decay_factor_this_round
0,0.005263,43.632823,+0.412617,1,0.995000
1,0.005263,44.945569,+0.244346,1,0.995000
2,0.005263,44.219158,+0.389787,1,0.995000
3,0.005263,40.574025,+0.180223,1,0.995000
4,0.005263,37.273676,+0.110708,1,0.995000
5,0.005263,32.146184,+0.230152,1,0.995000
6,0.005263,31.337053,+0.179840,1,0.995000
7,0.005263,29.291491,+0.172821,1,0.995000
8,0.005263,26.466449,+0.177971,1,0.995000
9,0.005263,26.221613,+0.196955,1,0.995000
10,0.005263,24.322969,+0.258937,1,0.995000
11,0.005263,23.685307,+0.208088,1,0.995000
12,0.005263,23.538327,+0.422192,1,0.995000
13,0.005263,22.187168,+0.209731,1,0.995000
14,0.005263,21.714911,+0.293319,1,0.995000
15,0.005263,21.834259,+0.327298,1,0.995000
16,0.005263,21.142746,+0.294942,1,0.995000
17,0.005263,20.571681,+0.264466,1,0.995000
18,0.005263,19.937049,+0.270404,1,0.995000
19,0.005263,19.996026,+0.109361,1,0.995000
20,0.005263,19.896046,+0.217189,0,0.995000
21,0.005263,19.796566,+0.078365,0,0.995000
22,0.005263,19.697583,+0.338464,0,0.995000
23,0.005263,19.599095,+0.279733,0,0.995000
24,0.005263,19.501100,+0.319450,0,0.995000
25,0.005263,19.403594,+0.246509,0,0.995000
26,0.005263,19.306576,+0.312820,0,0.995000
27,0.005263,19.210043,+0.325042,0,0.995000
28,0.005263,19.113993,+0.352862,0,0.995000
29,0.005263,19.018423,+0.185588,0,0.995000
30,0.005263,18.923331,+0.372301,0,0.995000
31,0.005263,18.828714,+0.297699,0,0.995000
32,0.005263,18.734571,+0.232129,0,0.995000
33,0.005263,18.640898,+0.360157,0,0.995000
34,0.005263,18.547693,+0.058617,0,0.995000
35,0.005263,18.454955,+0.231323,0,0.995000
36,0.005263,18.362680,+0.284378,0,0.995000
37,0.005263,18.270867,+0.356605,0,0.995000
38,0.005263,18.179512,+0.276597,0,0.995000
39,0.005263,18.088615,+0.309097,0,0.995000
40,0.005263,17.998172,+0.341567,0,0.995000
41,0.005263,17.908181,+0.180406,0,0.995000
42,0.005263,17.818640,+0.376482,0,0.995000
43,0.005263,17.729547,+0.418273,0,0.995000
44,0.005263,17.640899,+0.128603,0,0.995000
45,0.005263,17.552695,+0.120452,0,0.995000
46,0.005263,17.464931,+0.415982,0,0.995000
47,0.005263,17.377606,+0.144352,0,0.995000
48,0.005263,17.290718,+0.219689,0,0.995000
49,0.005263,17.204265,+0.078231,0,0.995000
50,0.005263,17.118243,+0.147044,0,0.995000
51,0.005263,17.032652,+0.391140,0,0.995000
52,0.005263,16.947489,+0.043238,0,0.995000
53,0.005263,16.862752,+0.121306,0,0.995000
54,0.005263,16.778438,-0.165936,0,0.995000
55,0.005263,16.694546,+0.308656,0,0.995000
56,0.005263,16.611073,+0.257214,0,0.995000
57,0.005263,16.528018,+0.320012,0,0.995000
58,0.005263,16.445377,-0.014968,0,0.995000
59,0.005263,16.363151,-0.127658,0,0.995000
60,0.005263,16.281335,-0.038030,0,0.995000
61,0.005263,16.199928,+0.196838,0,0.995000
62,0.005263,16.118928,+0.073816,0,0.995000
63,0.005263,16.038334,+0.029621,0,0.995000
64,0.005263,15.958142,+0.189616,0,0.995000
65,0.005263,15.878351,+0.088737,0,0.995000
66,0.005263,15.798960,-0.042434,0,0.995000
67,0.005263,15.719965,+0.270104,0,0.995000
68,0.005263,15.641365,+0.072774,0,0.995000
69,0.005263,15.563158,-0.002116,0,0.995000
70,0.005263,15.485342,+0.162559,0,0.995000
71,0.005263,15.407916,+0.410783,0,0.995000
72,0.005263,15.330876,-0.070141,0,0.995000
73,0.005263,15.254222,-0.086597,0,0.995000
74,0.005263,15.177951,-0.170981,0,0.995000
75,0.005263,15.102061,+0.103554,0,0.995000
76,0.005263,15.026551,-0.034616,0,0.995000
77,0.005263,14.951418,+0.155903,0,0.995000
78,0.005263,14.876661,+0.264044,0,0.995000
79,0.005263,14.802277,+0.045819,0,0.995000
80,0.005263,14.728266,+0.123312,0,0.995000
81,0.005263,14.654625,+0.353341,0,0.995000
82,0.005263,14.581352,+0.390240,0,0.995000
83,0.005263,14.508445,-0.005889,0,0.995000
84,0.005263,14.435903,+0.014541,0,0.995000
85,0.005263,14.363723,+0.115899,0,0.995000
86,0.005263,14.291905,+0.077014,0,0.995000
87,0.005263,14.220445,-0.171991,0,0.995000
88,0.005263,14.149343,-0.108152,0,0.995000
89,0.005263,14.078596,+0.209557,0,0.995000
90,0.005263,14.008203,+0.103010,0,0.995000
91,0.005263,13.938162,+0.075217,0,0.995000
92,0.005263,13.868471,-0.014892,0,0.995000
93,0.005263,13.799129,-0.075471,0,0.995000
94,0.005263,13.730133,+0.134645,0,0.995000
95,0.005263,13.661483,+0.249167,0,0.995000
96,0.005263,13.593175,+0.197979,0,0.995000
97,0.005263,13.525209,+0.127751,0,0.995000
98,0.005263,13.457583,+0.365929,0,0.995000
99,0.005263,13.390295,+0.274054,0,0.995000
100,0.005263,13.323344,+0.080131,0,0.995000
101,0.005263,13.256727,-0.091056,0,0.995000
102,0.005263,13.190444,+0.096857,0,0.995000
103,0.005263,13.124491,+0.208504,0,0.995000
104,0.005263,13.058869,-0.106170,0,0.995000
105,0.005263,12.993574,+0.053831,0,0.995000
106,0.005263,12.928607,-0.136998,0,0.995000
107,0.005263,12.863964,+0.023166,0,0.995000
108,0.005263,12.799644,+0.066794,0,0.995000
109,0.005263,12.735646,+0.028986,0,0.995000
110,0.005263,12.671967,+0.189410,0,0.995000
111,0.005263,12.608607,+0.118010,0,0.995000
112,0.005263,12.545564,-0.206268,0,0.995000
113,0.005263,12.482837,+0.204379,0,0.995000
114,0.005263,12.420422,+0.151802,0,0.995000
115,0.005263,12.358320,+0.090313,0,0.995000
116,0.005263,12.296529,+0.187926,0,0.995000
117,0.005263,12.235046,+0.223995,0,0.995000
118,0.005263,12.173871,+0.376676,0,0.995000
119,0.005263,12.113001,-0.071527,0,0.995000
120,0.005263,12.052436,+0.044974,0,0.995000
121,0.005263,11.992174,+0.257136,0,0.995000
122,0.005263,11.932213,+0.227885,0,0.995000
123,0.005263,11.872552,-0.196582,0,0.995000
124,0.005263,11.813190,+0.243240,0,0.995000
125,0.005263,11.754124,+0.190341,0,0.995000
126,0.005263,11.695353,-0.020112,0,0.995000
127,0.005263,11.636876,+0.230288,0,0.995000
128,0.005263,11.578692,+0.118528,0,0.995000
129,0.005263,11.520798,+0.086284,0,0.995000
130,0.005263,11.463194,+0.178098,0,0.995000
131,0.005263,11.405878,-0.167340,0,0.995000
132,0.005263,11.348849,+0.063842,0,0.995000
133,0.005263,11.292105,+0.219773,0,0.995000
134,0.005263,11.235644,-0.263719,0,0.995000
135,0.005263,11.179466,+0.497436,0,0.995000
136,0.005263,11.123569,+0.028631,0,0.995000
137,0.005263,11.067951,-0.052690,0,0.995000
138,0.005263,11.012611,+0.009760,0,0.995000
139,0.005263,10.957548,+0.113106,0,0.995000
140,0.005263,10.902760,+0.389289,0,0.995000
141,0.005263,10.848247,+0.218717,0,0.995000
142,0.005263,10.794005,+0.219472,0,0.995000
143,0.005263,10.740035,+0.167115,0,0.995000
144,0.005263,10.686335,+0.014238,0,0.995000
145,0.005263,10.632903,+0.191724,0,0.995000
146,0.005263,10.579739,-0.297919,0,0.995000
147,0.005263,10.526840,-0.058409,0,0.995000
148,0.005263,10.474206,+0.075493,0,0.995000
149,0.005263,10.421835,-0.041002,0,0.995000
150,0.005263,10.369726,+0.422652,0,0.995000
151,0.005263,10.317877,-0.084691,0,0.995000
152,0.005263,10.266288,+0.023703,0,0.995000
153,0.005263,10.214956,+0.311864,0,0.995000
154,0.005263,10.163882,+0.018720,0,0.995000
155,0.005263,10.113062,-0.109854,0,0.995000
156,0.005263,10.062497,+0.115446,0,0.995000
157,0.005263,10.012184,+0.027263,0,0.995000
158,0.005263,9.962123,+0.196743,0,0.995000
159,0.005263,9.912313,+0.217282,0,0.995000
160,0.005263,9.862751,-0.052275,0,0.995000
161,0.005263,9.813438,+0.075147,0,0.995000
162,0.005263,9.764370,+0.059801,0,0.995000
163,0.005263,9.715548,+0.016029,0,0.995000
164,0.005263,9.666971,+0.308057,0,0.995000
165,0.005263,9.618636,+0.279621,0,0.995000
166,0.005263,9.570543,-0.101591,0,0.995000
167,0.005263,9.522690,+0.219657,0,0.995000
168,0.005263,9.475077,+0.206689,0,0.995000
169,0.005263,9.427701,+0.213063,0,0.995000
170,0.005263,9.380563,-0.090248,0,0.995000
171,0.005263,9.333660,+0.289386,0,0.995000
172,0.005263,9.286992,-0.191408,0,0.995000
173,0.005263,9.240557,-0.220795,0,0.995000
174,0.005263,9.194354,-0.055814,0,0.995000
175,0.005263,9.148382,-0.004348,0,0.995000
176,0.005263,9.102640,+0.586924,0,0.995000
177,0.005263,9.057127,+0.168187,0,0.995000
178,0.005263,9.011841,-0.044394,0,0.995000
179,0.005263,8.966782,-0.242257,0,0.995000
180,0.005263,8.921948,+0.008047,0,0.995000
181,0.005263,8.877338,+0.161976,0,0.995000
182,0.005263,8.832952,-0.294980,0,0.995000
183,0.005263,8.788787,+0.296084,0,0.995000
184,0.005263,8.744843,+0.110299,0,0.995000
185,0.005263,8.701119,+0.375911,0,0.995000
186,0.005263,8.657613,+0.199491,0,0.995000
187,0.005263,8.614325,-0.086992,0,0.995000
188,0.005263,8.571254,-0.256182,0,0.995000
189,0.005263,8.528397,+0.043696,0,0.995000
190,0.005263,8.485755,-0.162191,0,0.995000
191,0.005263,8.443327,+0.095163,0,0.995000
192,0.005263,8.401110,-0.064830,0,0.995000
193,0.005263,8.359104,+0.197810,0,0.995000
194,0.005263,8.317309,-0.246625,0,0.995000
195,0.005263,8.275722,-0.182460,0,0.995000
196,0.005263,8.234344,-0.282120,0,0.995000
197,0.005263,8.193172,-0.235265,0,0.995000
198,0.005263,8.152206,+0.288232,0,0.995000
199,0.005263,8.111445,+0.124602,0,0.995000
