round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.000000
10,0.647800,1.720871,0.000000
20,0.711700,1.205768,0.000000
30,0.768400,0.900970,0.000000
40,0.813400,0.730081,0.000000
50,0.836900,0.627741,0.000000
60,0.851500,0.560818,0.000000
70,0.861300,0.512784,0.000000
80,0.869600,0.477402,0.000000
90,0.874300,0.449989,0.000000
100,0.882100,0.427967,0.000000
110,0.886100,0.410589,0.000000
120,0.889900,0.395761,0.000000
130,0.893000,0.383219,0.000000
140,0.894600,0.372813,0.000000
150,0.896900,0.363363,0.000000
160,0.899600,0.355080,0.000000
170,0.901100,0.347672,0.000000
180,0.903400,0.341382,0.000000
190,0.905200,0.335366,0.000000
200,0.905700,0.329792,0.000000
