round,w_dormant,norm_cached_g,cos_cached_vs_honest_mean,in_S_t,decay_factor_this_round
0,0.005263,43.632823,+0.412617,1,0.995000
1,0.005263,44.945569,+0.244346,1,0.995000
2,0.005263,44.219158,+0.389787,1,0.995000
3,0.005263,40.574025,+0.180223,1,0.995000
4,0.005263,37.273676,+0.110708,1,0.995000
5,0.005263,32.146184,+0.230152,1,0.995000
6,0.005263,31.337053,+0.179840,1,0.995000
7,0.005263,29.291491,+0.172821,1,0.995000
8,0.005263,26.466449,+0.177971,1,0.995000
9,0.005263,26.221613,+0.196955,1,0.995000
10,0.005263,24.322969,+0.258937,1,0.995000
11,0.005263,23.685307,+0.208088,1,0.995000
12,0.005263,23.538327,+0.422192,1,0.995000
13,0.005263,22.187168,+0.209731,1,0.995000
14,0.005263,21.714911,+0.293319,1,0.995000
15,0.005263,21.834259,+0.327298,1,0.995000
16,0.005263,21.142746,+0.294942,1,0.995000
17,0.005263,20.571681,+0.264466,1,0.995000
18,0.005263,19.937049,+0.270404,1,0.995000
19,0.005263,19.996026,+0.109361,1,0.995000
20,0.005263,19.844994,+0.205032,1,0.995000
21,0.005263,19.089173,+0.072063,1,0.995000
22,0.005263,18.026315,+0.345530,1,0.995000
23,0.005263,18.489400,+0.263594,1,0.995000
24,0.005263,17.927668,+0.285671,1,0.995000
25,0.005263,17.487009,+0.248850,1,0.995000
26,0.005263,17.334363,+0.289429,1,0.995000
27,0.005263,16.783964,+0.316093,1,0.995000
28,0.005263,16.645969,+0.315478,1,0.995000
29,0.005263,16.795880,+0.181031,1,0.995000
30,0.005263,15.274757,+0.341852,1,0.995000
31,0.005263,16.338293,+0.280585,1,0.995000
32,0.005263,15.957326,+0.219208,1,0.995000
33,0.005263,16.449867,+0.340050,1,0.995000
34,0.005263,15.604173,+0.005164,1,0.995000
35,0.005263,15.548726,+0.240698,1,0.995000
36,0.005263,15.353025,+0.272998,1,0.995000
37,0.005263,16.840846,+0.296881,1,0.995000
38,0.005263,15.497348,+0.231058,1,0.995000
39,0.005263,15.565741,+0.236470,1,0.995000
40,0.005263,14.685214,+0.363097,1,0.995000
41,0.005263,15.721010,+0.130767,1,0.995000
42,0.005263,14.893635,+0.318583,1,0.995000
43,0.005263,14.906225,+0.357088,1,0.995000
44,0.005263,15.087916,+0.071823,1,0.995000
45,0.005263,16.077444,+0.064572,1,0.995000
46,0.005263,14.950993,+0.364172,1,0.995000
47,0.005263,14.499788,+0.116852,1,0.995000
48,0.005263,14.771256,+0.200916,1,0.995000
49,0.005263,13.459857,-0.011984,1,0.995000
50,0.005263,13.392558,+0.003856,0,0.995000
51,0.005263,13.325595,-0.019296,0,0.995000
52,0.005263,13.258967,-0.002582,0,0.995000
53,0.005263,13.192673,-0.003089,0,0.995000
54,0.005263,13.126709,-0.006611,0,0.995000
55,0.005263,13.061076,-0.003495,0,0.995000
56,0.005263,12.995770,-0.009003,0,0.995000
57,0.005263,12.930791,-0.012761,0,0.995000
58,0.005263,12.866137,-0.011437,0,0.995000
59,0.005263,12.801807,-0.009339,0,0.995000
60,0.005263,12.737798,-0.005495,0,0.995000
61,0.005263,12.674109,+0.004312,0,0.995000
62,0.005263,12.610738,-0.006631,0,0.995000
63,0.005263,12.547685,+0.003316,0,0.995000
64,0.005263,12.484946,-0.012579,0,0.995000
65,0.005263,12.422521,+0.010420,0,0.995000
66,0.005263,12.360409,+0.000585,0,0.995000
67,0.005263,12.298607,-0.014770,0,0.995000
68,0.005263,12.237114,-0.007836,0,0.995000
69,0.005263,12.175928,-0.006275,0,0.995000
70,0.005263,12.115048,+0.002833,0,0.995000
71,0.005263,12.054473,-0.015753,0,0.995000
72,0.005263,11.994201,-0.003912,0,0.995000
73,0.005263,11.934230,+0.009805,0,0.995000
74,0.005263,11.874559,+0.015718,0,0.995000
75,0.005263,11.815186,+0.010681,0,0.995000
76,0.005263,11.756110,+0.012023,0,0.995000
77,0.005263,11.697329,-0.014148,0,0.995000
78,0.005263,11.638843,+0.001843,0,0.995000
79,0.005263,11.580649,-0.000318,0,0.995000
80,0.005263,11.522745,-0.011522,0,0.995000
81,0.005263,11.465132,-0.017451,0,0.995000
82,0.005263,11.407806,-0.006209,0,0.995000
83,0.005263,11.350767,+0.001486,0,0.995000
84,0.005263,11.294013,+0.002077,0,0.995000
85,0.005263,11.237543,-0.020385,0,0.995000
86,0.005263,11.181355,-0.001997,0,0.995000
87,0.005263,11.125449,+0.001222,0,0.995000
88,0.005263,11.069821,+0.017754,0,0.995000
89,0.005263,11.014472,-0.010394,0,0.995000
90,0.005263,10.959400,-0.003881,0,0.995000
91,0.005263,10.904603,-0.015537,0,0.995000
92,0.005263,10.850080,+0.008514,0,0.995000
93,0.005263,10.795829,+0.008134,0,0.995000
94,0.005263,10.741850,+0.001379,0,0.995000
95,0.005263,10.688141,-0.010572,0,0.995000
96,0.005263,10.634700,+0.000354,0,0.995000
97,0.005263,10.581527,+0.011849,0,0.995000
98,0.005263,10.528619,+0.003529,0,0.995000
99,0.005263,10.475976,-0.004601,0,0.995000
100,0.005263,10.423596,-0.006506,0,0.995000
101,0.005263,10.371478,+0.007772,0,0.995000
102,0.005263,10.319621,-0.002356,0,0.995000
103,0.005263,10.268023,-0.028856,0,0.995000
104,0.005263,10.216683,+0.003657,0,0.995000
105,0.005263,10.165599,-0.027114,0,0.995000
106,0.005263,10.114771,-0.005316,0,0.995000
107,0.005263,10.064197,+0.003664,0,0.995000
108,0.005263,10.013876,-0.003110,0,0.995000
109,0.005263,9.963807,+0.016077,0,0.995000
110,0.005263,9.913988,-0.008351,0,0.995000
111,0.005263,9.864418,-0.003525,0,0.995000
112,0.005263,9.815096,-0.012977,0,0.995000
113,0.005263,9.766020,-0.015278,0,0.995000
114,0.005263,9.717190,-0.008771,0,0.995000
115,0.005263,9.668604,+0.017178,0,0.995000
116,0.005263,9.620261,-0.006570,0,0.995000
117,0.005263,9.572160,-0.022015,0,0.995000
118,0.005263,9.524299,+0.003104,0,0.995000
119,0.005263,9.476678,-0.008102,0,0.995000
120,0.005263,9.429294,-0.024831,0,0.995000
121,0.005263,9.382148,-0.019539,0,0.995000
122,0.005263,9.335237,-0.019235,0,0.995000
123,0.005263,9.288561,+0.001866,0,0.995000
124,0.005263,9.242118,-0.026171,0,0.995000
125,0.005263,9.195908,+0.012701,0,0.995000
126,0.005263,9.149928,+0.020465,0,0.995000
127,0.005263,9.104178,-0.019593,0,0.995000
128,0.005263,9.058658,-0.002594,0,0.995000
129,0.005263,9.013364,-0.022924,0,0.995000
130,0.005263,8.968297,-0.006293,0,0.995000
131,0.005263,8.923456,-0.004302,0,0.995000
132,0.005263,8.878839,+0.005197,0,0.995000
133,0.005263,8.834444,+0.000771,0,0.995000
134,0.005263,8.790272,+0.004284,0,0.995000
135,0.005263,8.746321,-0.008235,0,0.995000
136,0.005263,8.702589,+0.009788,0,0.995000
137,0.005263,8.659076,-0.015204,0,0.995000
138,0.005263,8.615781,+0.003972,0,0.995000
139,0.005263,8.572702,-0.004666,0,0.995000
140,0.005263,8.529839,-0.024597,0,0.995000
141,0.005263,8.487189,-0.012581,0,0.995000
142,0.005263,8.444753,-0.019952,0,0.995000
143,0.005263,8.402530,-0.025780,0,0.995000
144,0.005263,8.360517,+0.009297,0,0.995000
145,0.005263,8.318714,+0.006914,0,0.995000
146,0.005263,8.277121,-0.010999,0,0.995000
147,0.005263,8.235735,+0.002270,0,0.995000
148,0.005263,8.194557,-0.003000,0,0.995000
149,0.005263,8.153584,+0.011818,0,0.995000
150,0.005263,8.112816,-0.020623,0,0.995000
151,0.005263,8.072252,+0.014312,0,0.995000
152,0.005263,8.031890,+0.011749,0,0.995000
153,0.005263,7.991731,-0.010202,0,0.995000
154,0.005263,7.951772,+0.003617,0,0.995000
155,0.005263,7.912014,+0.012867,0,0.995000
156,0.005263,7.872453,+0.001135,0,0.995000
157,0.005263,7.833091,-0.005367,0,0.995000
158,0.005263,7.793926,+0.006739,0,0.995000
159,0.005263,7.754956,-0.017372,0,0.995000
160,0.005263,7.716181,-0.011484,0,0.995000
161,0.005263,7.677600,-0.020782,0,0.995000
162,0.005263,7.639212,-0.017036,0,0.995000
163,0.005263,7.601016,+0.018159,0,0.995000
164,0.005263,7.563011,-0.038099,0,0.995000
165,0.005263,7.525196,-0.012647,0,0.995000
166,0.005263,7.487570,-0.001508,0,0.995000
167,0.005263,7.450132,-0.020206,0,0.995000
168,0.005263,7.412882,+0.000878,0,0.995000
169,0.005263,7.375817,+0.013178,0,0.995000
170,0.005263,7.338938,-0.007910,0,0.995000
171,0.005263,7.302244,-0.009439,0,0.995000
172,0.005263,7.265732,+0.005749,0,0.995000
173,0.005263,7.229404,+0.017570,0,0.995000
174,0.005263,7.193257,-0.021192,0,0.995000
175,0.005263,7.157290,-0.011666,0,0.995000
176,0.005263,7.121504,-0.010953,0,0.995000
177,0.005263,7.085896,-0.004394,0,0.995000
178,0.005263,7.050467,+0.012594,0,0.995000
179,0.005263,7.015215,+0.024809,0,0.995000
180,0.005263,6.980138,+0.013981,0,0.995000
181,0.005263,6.945238,+0.016255,0,0.995000
182,0.005263,6.910512,+0.029595,0,0.995000
183,0.005263,6.875959,-0.019030,0,0.995000
184,0.005263,6.841579,-0.016613,0,0.995000
185,0.005263,6.807371,-0.007456,0,0.995000
186,0.005263,6.773334,-0.013114,0,0.995000
187,0.005263,6.739468,+0.000263,0,0.995000
188,0.005263,6.705770,-0.015058,0,0.995000
189,0.005263,6.672242,+0.014986,0,0.995000
190,0.005263,6.638880,+0.001037,0,0.995000
191,0.005263,6.605686,-0.005025,0,0.995000
192,0.005263,6.572658,-0.006530,0,0.995000
193,0.005263,6.539794,+0.020061,0,0.995000
194,0.005263,6.507095,+0.007279,0,0.995000
195,0.005263,6.474560,+0.006114,0,0.995000
196,0.005263,6.442187,+0.014665,0,0.995000
197,0.005263,6.409976,-0.010482,0,0.995000
198,0.005263,6.377926,-0.010423,0,0.995000
199,0.005263,6.346037,+0.018145,0,0.995000
