round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.000000
10,0.647800,1.720871,0.000000
20,0.711700,1.205768,0.000000
30,0.768800,0.901134,0.000000
40,0.813800,0.730446,0.000000
50,0.836800,0.628331,0.000000
60,0.851300,0.561719,0.000000
70,0.860900,0.513780,0.000000
80,0.869300,0.478314,0.000000
90,0.874500,0.450813,0.000000
100,0.881500,0.428729,0.000000
110,0.886000,0.411238,0.000000
120,0.890000,0.396314,0.000000
130,0.892800,0.383724,0.000000
140,0.894800,0.373231,0.000000
150,0.897400,0.363723,0.000000
160,0.899600,0.355357,0.000000
170,0.901300,0.347903,0.000000
180,0.903500,0.341579,0.000000
190,0.905200,0.335535,0.000000
200,0.905800,0.329931,0.000000
