round,cohort_size,sum_w_cohort,avg_w_cohort,avg_norm_cached_g,avg_cos_cached_vs_honest_mean,n_in_S_t,decay_factor_this_round
0,20,0.210526,0.010526,0.000000,+0.000000,20,0.995000
1,20,0.165289,0.008264,0.000000,+0.000000,20,0.995000
2,20,0.198020,0.009901,0.000000,+0.000000,20,0.995000
3,20,0.208333,0.010417,0.000000,+0.000000,20,0.995000
4,20,0.224719,0.011236,0.000000,+0.000000,20,0.995000
5,20,0.183486,0.009174,0.000000,+0.000000,20,0.995000
6,20,0.202020,0.010101,0.000000,+0.000000,20,0.995000
7,20,0.183486,0.009174,0.000000,+0.000000,20,0.995000
8,20,0.185185,0.009259,0.000000,+0.000000,20,0.995000
9,20,0.204082,0.010204,0.000000,+0.000000,20,0.995000
10,20,0.229885,0.011494,0.000000,+0.000000,20,0.995000
11,20,0.215054,0.010753,0.000000,+0.000000,20,0.995000
12,20,0.235294,0.011765,0.000000,+0.000000,20,0.995000
13,20,0.206186,0.010309,0.000000,+0.000000,20,0.995000
14,20,0.186916,0.009346,0.000000,+0.000000,20,0.995000
15,20,0.204082,0.010204,0.000000,+0.000000,20,0.995000
16,20,0.222222,0.011111,0.000000,+0.000000,20,0.995000
17,20,0.198020,0.009901,0.000000,+0.000000,20,0.995000
18,20,0.185185,0.009259,0.000000,+0.000000,20,0.995000
19,20,0.185746,0.009287,0.000000,+0.000000,20,0.995000
20,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
21,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
22,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
23,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
24,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
25,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
26,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
27,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
28,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
29,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
30,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
31,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
32,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
33,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
34,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
35,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
36,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
37,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
38,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
39,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
40,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
41,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
42,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
43,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
44,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
45,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
46,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
47,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
48,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
49,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
50,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
51,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
52,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
53,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
54,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
55,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
56,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
57,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
58,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
59,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
60,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
61,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
62,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
63,20,0.000000,0.000000,0.000000,+0.000000,0,0.995000
