round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.000000
10,0.485100,1.774130,0.000000
20,0.727500,1.249175,0.000000
30,0.651400,1.032499,0.000000
40,0.719300,0.831292,0.000000
50,0.774800,0.703457,0.000000
60,0.804500,0.627415,0.000000
70,0.819400,0.582466,0.000000
80,0.830700,0.549677,0.000000
90,0.846000,0.504923,0.000000
100,0.852500,0.485334,0.000000
110,0.855300,0.470479,0.000000
120,0.864000,0.448071,0.000000
130,0.866700,0.445524,0.000000
140,0.866400,0.437377,0.000000
150,0.873200,0.419803,0.000000
160,0.872700,0.412844,0.000000
170,0.878900,0.399543,0.000000
180,0.880600,0.393123,0.000000
190,0.883900,0.386916,0.000000
200,0.886300,0.381248,0.000000
