round,cohort_size,sum_w_cohort,avg_w_cohort,avg_norm_cached_g,avg_cos_cached_vs_honest_mean,n_in_S_t,decay_factor_this_round
0,20,0.105263,0.005263,45.045540,+0.114251,20,0.995000
1,20,0.105263,0.005263,46.140500,+0.113588,20,0.995000
2,20,0.105263,0.005263,43.346576,+0.058948,20,0.995000
3,20,0.105263,0.005263,39.176933,-0.042612,20,0.995000
4,20,0.105263,0.005263,35.534737,-0.131793,20,0.995000
5,20,0.105263,0.005263,32.638395,-0.180534,20,0.995000
6,20,0.105263,0.005263,31.046647,-0.202485,20,0.995000
7,20,0.105263,0.005263,29.891261,-0.178736,20,0.995000
8,20,0.105263,0.005263,28.658429,-0.171548,20,0.995000
9,20,0.105263,0.005263,27.533814,-0.170016,20,0.995000
10,20,0.105263,0.005263,26.349690,-0.177352,20,0.995000
11,20,0.105263,0.005263,25.411372,-0.141290,20,0.995000
12,20,0.105263,0.005263,24.474915,-0.157380,20,0.995000
13,20,0.105263,0.005263,23.607295,-0.195789,20,0.995000
14,20,0.105263,0.005263,22.796030,-0.140683,20,0.995000
15,20,0.105263,0.005263,22.271986,-0.185337,20,0.995000
16,20,0.105263,0.005263,21.479979,-0.140161,20,0.995000
17,20,0.105263,0.005263,20.898096,-0.159985,20,0.995000
18,20,0.105263,0.005263,20.868453,-0.198030,20,0.995000
19,20,0.105263,0.005263,20.172772,-0.189270,20,0.995000
20,20,0.105263,0.005263,19.844698,-0.159390,20,0.995000
21,20,0.105263,0.005263,19.392629,-0.183429,20,0.995000
22,20,0.105263,0.005263,19.231326,-0.162189,20,0.995000
23,20,0.105263,0.005263,18.822892,-0.212347,20,0.995000
24,20,0.105263,0.005263,18.666527,-0.269519,20,0.995000
25,20,0.105263,0.005263,18.274201,-0.207014,20,0.995000
26,20,0.105263,0.005263,17.990641,-0.195120,20,0.995000
27,20,0.105263,0.005263,17.882099,-0.218179,20,0.995000
28,20,0.105263,0.005263,17.488803,-0.217762,20,0.995000
29,20,0.105263,0.005263,17.439572,-0.229547,20,0.995000
30,20,0.105263,0.005263,17.275369,-0.247927,20,0.995000
31,20,0.105263,0.005263,17.180325,-0.220226,20,0.995000
32,20,0.105263,0.005263,16.778370,-0.226723,20,0.995000
33,20,0.105263,0.005263,16.539755,-0.224999,20,0.995000
34,20,0.105263,0.005263,16.616162,-0.294875,20,0.995000
35,20,0.105263,0.005263,15.996765,-0.308617,20,0.995000
36,20,0.105263,0.005263,16.292093,-0.302134,20,0.995000
37,20,0.105263,0.005263,16.321291,-0.291632,20,0.995000
38,20,0.105263,0.005263,15.944246,-0.358368,20,0.995000
39,20,0.105263,0.005263,16.109249,-0.357654,20,0.995000
40,20,0.105263,0.005263,15.675484,-0.283605,20,0.995000
41,20,0.105263,0.005263,15.745261,-0.286160,20,0.995000
42,20,0.105263,0.005263,15.606958,-0.326346,20,0.995000
43,20,0.105263,0.005263,15.605625,-0.365563,20,0.995000
44,20,0.105263,0.005263,15.558410,-0.334709,20,0.995000
45,20,0.105263,0.005263,15.684237,-0.377241,20,0.995000
46,20,0.105263,0.005263,15.263583,-0.332254,20,0.995000
47,20,0.105263,0.005263,15.136424,-0.355678,20,0.995000
48,20,0.105263,0.005263,15.256721,-0.432506,20,0.995000
49,20,0.105263,0.005263,13.286358,+0.000720,20,0.995000
50,20,0.105263,0.005263,13.219926,+0.003548,0,0.995000
51,20,0.105263,0.005263,13.153827,-0.015833,0,0.995000
52,20,0.105263,0.005263,13.088058,-0.014683,0,0.995000
53,20,0.105263,0.005263,13.022617,-0.018470,0,0.995000
54,20,0.105263,0.005263,12.957504,-0.034950,0,0.995000
55,20,0.105263,0.005263,12.892717,-0.018457,0,0.995000
56,20,0.105263,0.005263,12.828253,-0.026907,0,0.995000
57,20,0.105263,0.005263,12.764112,-0.025279,0,0.995000
58,20,0.105263,0.005263,12.700291,-0.038477,0,0.995000
59,20,0.105263,0.005263,12.636790,-0.044841,0,0.995000
60,20,0.105263,0.005263,12.573606,-0.041176,0,0.995000
61,20,0.105263,0.005263,12.510738,-0.023544,0,0.995000
62,20,0.105263,0.005263,12.448184,-0.039423,0,0.995000
63,20,0.105263,0.005263,12.385943,-0.044455,0,0.995000
64,20,0.105263,0.005263,12.324014,-0.052167,0,0.995000
65,20,0.105263,0.005263,12.262394,-0.040301,0,0.995000
66,20,0.105263,0.005263,12.201082,-0.049564,0,0.995000
67,20,0.105263,0.005263,12.140076,-0.046448,0,0.995000
68,20,0.105263,0.005263,12.079376,-0.054829,0,0.995000
69,20,0.105263,0.005263,12.018979,-0.058192,0,0.995000
70,20,0.105263,0.005263,11.958884,-0.046088,0,0.995000
71,20,0.105263,0.005263,11.899090,-0.065866,0,0.995000
72,20,0.105263,0.005263,11.839594,-0.070364,0,0.995000
73,20,0.105263,0.005263,11.780396,-0.061732,0,0.995000
74,20,0.105263,0.005263,11.721494,-0.057133,0,0.995000
75,20,0.105263,0.005263,11.662887,-0.049817,0,0.995000
76,20,0.105263,0.005263,11.604572,-0.049634,0,0.995000
77,20,0.105263,0.005263,11.546549,-0.081687,0,0.995000
78,20,0.105263,0.005263,11.488817,-0.068732,0,0.995000
79,20,0.105263,0.005263,11.431373,-0.067550,0,0.995000
80,20,0.105263,0.005263,11.374216,-0.067314,0,0.995000
81,20,0.105263,0.005263,11.317345,-0.074826,0,0.995000
82,20,0.105263,0.005263,11.260758,-0.067879,0,0.995000
