round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.000000
10,0.652600,1.711642,0.000000
20,0.714600,1.193503,0.000000
30,0.770800,0.894699,0.000000
40,0.814300,0.727579,0.000000
50,0.817900,0.646728,0.000000
60,0.764400,0.706084,0.000000
70,0.765600,0.707070,0.000000
80,0.765400,0.714026,0.000000
90,0.767000,0.713605,0.000000
100,0.771600,0.707216,0.000000
110,0.776800,0.694449,0.000000
120,0.780800,0.679156,0.000000
130,0.787800,0.661916,0.000000
140,0.794300,0.646598,0.000000
150,0.801700,0.627613,0.000000
160,0.805000,0.612244,0.000000
170,0.809600,0.595972,0.000000
180,0.816600,0.580495,0.000000
190,0.822000,0.566534,0.000000
200,0.827700,0.552455,0.000000
